country,location_id,company_name,number_plants,number_blast_furnace,total_capacity,location_name,latitude,longitude,accuracy,uid
GERMANY,100021,THYSSENKRUPP STEEL EUROPE AG,2,2,3700,DUISBURG-HAMBORN,51.485334,6.731369,Exact,DEU0001
GERMANY,100022,THYSSENKRUPP STEEL EUROPE AG,16,0,27544,DUISBURG-BRUCKHAUSEN,51.493014,6.740669,Exact,DEU0002
GERMANY,100023,THYSSENKRUPP STEEL EUROPE AG,6,2,22815,DUISBURG-SCHWELGERN,51.506862,6.739497,Exact,DEU0003
GERMANY,100024,THYSSENKRUPP STEEL EUROPE AG,16,0,29280,DUISBURG-BEECKERWERTH,51.48378,6.706625,Exact,DEU0004
GERMANY,100025,THYSSENKRUPP STEEL EUROPE AG,3,0,1620,DUISBURG-HÌÏTTENHEIM,51.365948,6.710592,Exact,DEU0005
GERMANY,100031,THYSSENKRUPP STEEL EUROPE AG,8,0,10460,BOCHUM,51.476514,7.175024,Exact,DEU0006
GERMANY,100032,THYSSENKRUPP STEEL EUROPE AG,8,0,7450,DORTMUND,51.538297,7.501288,Exact,DEU0007
GERMANY,100034,THYSSENKRUPP STEEL EUROPE AG,2,0,665,KREUZTAL-EICHEN,50.970501,7.977616,Exact,DEU0008
GERMANY,100035,THYSSENKRUPP STEEL EUROPE AG,3,0,1422,KREUZTAL-FERNDORF,51.168455,7.968379,Exact,DEU0009
GERMANY,100037,THYSSENKRUPP STEEL EUROPE AG,10,0,2970,"ELEKTROBAND, BOCHUM ",51.489378,7.249118,Exact,DEU0010
GERMANY,100051,DEUTSCHE EDELSTAHLW. GMBH,7,0,2250,WITTEN ,51.433983,7.325924,Exact,DEU0011
GERMANY,100052,DEUTSCHE EDELSTAHLW. GMBH,6,0,29,KREFELD,51.304615,6.542974,Exact,DEU0012
GERMANY,100062,FRIEDR. WILHELMS-HUETTE,2,0,6,MUELHEIM/RUHR,51.433648,6.87511,Exact,DEU0013
GERMANY,100071,THYSSENKRUPP RASSELSTEIN GMBH,17,0,8065,ANDERNACH,50.436236,7.429371,Exact,DEU0014
GERMANY,100092,THYSSENKRUPP ELECTRICAL STEEL,3,0,495,GELSENKIRCHEN,51.524198,7.084921,Exact,DEU0015
GERMANY,100111,SAARSTAHL AG,1,0,1000,BURBACH,49.23711,6.951988,Exact,DEU0016
GERMANY,100112,SAARSTAHL AG,9,0,7700,VÌÐLKLINGEN,49.253787,6.846066,Exact,DEU0017
GERMANY,100114,SAARSTAHL AG,3,0,1100,NEUNKIRCHEN,49.358044,7.172287,Exact,DEU0018
GERMANY,100121,SAARSCHMIEDE GMBH,11,0,600,VÌÐLKLINGEN,49.253251,6.846862,Exact,DEU0019
GERMANY,100131,ZENTRALKOKEREI SAAR,1,0,1240,DILLINGEN,49.346808,6.742923,Exact,DEU0020
GERMANY,100141,AG DER DILLINGER HÌÏTTENWERKE,7,0,11100,DILLINGEN,49.349387,6.73668,Exact,DEU0021
GERMANY,100151,ROGESA ROHEISENGES. SAAR,5,3,10350,DILLINGEN,49.352394,6.737793,Exact,DEU0022
GERMANY,100191,THYSSENKRUPP HOHENLIMBURG,4,0,2175,HAGEN,51.345,7.591919,Exact,DEU0023
GERMANY,100202,OUTOKUMPU NIROSTA GMBH,9,0,1062,DÌÏSSELDORF-BENRATH,51.1610138,6.8736487,Exact,DEU0024
GERMANY,100203,OUTOKUMPU NIROSTA GMBH,9,0,745,DILLENBURG,50.757705,8.280888,Exact,DEU0025
GERMANY,100204,OUTOKUMPU NIROSTA GMBH,14,0,1423,KREFELD,51.301513,6.547949,Exact,DEU0026
GERMANY,100205,OUTOKUMPU NIROSTA GMBH,4,0,33,DAHLERBRÌÏCK,51.261314,7.517507,Exact,DEU0027
GERMANY,100211,DEUTSCHE EDELSTAHLW. GMBH,12,0,2206,SIEGEN,50.915877,8.016377,Exact,DEU0028
GERMANY,100212,DEUTSCHE EDELSTAHLW. GMBH,1,0,215,HAGEN-WEHRINGHAUSEN,51.359396,7.457867,Exact,DEU0029
GERMANY,100231,BENTELER STAHL/ROHR GMBH,1,0,0,PADERBORN,51.744388,8.717124,Exact,DEU0030
GERMANY,100232,BENTELER STAHL/ROHR GMBH,3,0,1780,LINGEN,52.467622,7.317169,Exact,DEU0031
GERMANY,100251,SALZGITTER FLACHSTAHL GMBH,28,3,39064,SALZGITTER,52.157284,10.394871,Exact,DEU0032
GERMANY,100261,GEORGSMARIENH. GMBH,6,0,5450,GEORGSMARIENHÌÏTTE,52.208378,8.052814,Exact,DEU0033
GERMANY,100271,ARCELORMITTAL BREMEN GMBH,14,2,29855,BREMEN,53.134713,8.685734,Exact,DEU0034
GERMANY,100272,ARCELORMITTAL BREMEN GMBH,1,0,2000,BOTTROP,51.519868,6.97208,Exact,DEU0035
GERMANY,100291,MANNSTAEDT-WERKE GMBH & CO. KG,2,0,290,TROISDORF,50.801806,7.169457,Exact,DEU0036
GERMANY,100311,GIEBEL KALTWALWERK GMBH,2,0,0,ISERLOHN,51.364671,7.590734,Exact,DEU0037
GERMANY,100321,BADISCHE STAHLWERKE GMBH,8,0,8950,KEHL,48.600189,7.822174,Exact,DEU0038
GERMANY,100341,LECH-STAHLWERKE GMBH,9,0,4880,HERBERTSHOFEN,48.511975,10.853882,Exact,DEU0039
GERMANY,100351,HW. KRUPP MANNESMANN,13,2,30520,DUISBURG-HUCKINGEN,51.365704,6.710069,Exact,DEU0040
GERMANY,100361,SALZGITTER MANNESMANN GROBBLECH,1,0,900,MÌÏLHEIM/RUHR,51.443573,6.875271,Exact,DEU0041
GERMANY,100371,STAHLWERK BOUS GMBH,4,0,1050,BOUS/SAAR,49.277193,6.783961,Exact,DEU0042
GERMANY,100381,DK RECYCL.+ ROHEISEN,3,2,1030,DUISBURG,51.424335,6.739744,Exact,DEU0043
GERMANY,100391,HILLE & MÌÏLLER,4,0,100,DÌÏSSELDORF,51.167091,6.842895,Exact,DEU0044
GERMANY,100401,BUDERUS EDELSTAHL GMBH,10,0,1820,WETZLAR,50.57377,8.484671,Exact,DEU0045
GERMANY,100411,BILSTEIN GMBH & CO KG,6,0,766,HAGEN,51.349028,7.579443,Exact,DEU0046
GERMANY,100421,MSW MOSELSTAHLWERK GMBH,1,0,500,TRIER,49.791567,6.692535,Exact,DEU0047
GERMANY,100433,ENERGIETECHNIK ESSEN GMBH,2,0,12,ESSEN,51.457111,6.992324,Exact,DEU0048
GERMANY,100452,BGH EDELST. SIEGEN,4,0,450,SIEGEN ,50.864979,8.008638,Exact,DEU0049
GERMANY,100461,VDM METALS GMBH,12,0,200.2,UNNA,51.564025,7.696653,Exact,DEU0050
GERMANY,100462,VDM METALS GMBH,2,0,0,ALTENA,51.308137,7.665967,Exact,DEU0051
GERMANY,100463,VDM METALS GMBH,10,0,5,WERDOHL,51.254638,7.769417,Exact,DEU0052
GERMANY,100465,VDM METALS GMBH,2,0,30,SIEGEN,50.918192,8.01631,Exact,DEU0053
GERMANY,100481,DUERRENBERG EDELSTAHL,2,0,20,ROENDEROTH,50.99806,7.471082,Exact,DEU0054
GERMANY,100501,WALZWERKE EINSAL,2,0,25,ALTENA,51.32315,7.645134,Exact,DEU0055
GERMANY,100511,VULKAN INOX GMBH,2,0,0,HATTINGEN,51.399472,7.168685,Exact,DEU0056
GERMANY,100541,EISENWERK GEWEKE,1,0,0,HAGEN,51.356779,7.424378,Exact,DEU0057
GERMANY,100551,GONTERMANN PEIPERS,4,0,0,SIEGEN,50.873038,8.050298,Exact,DEU0058
GERMANY,100561,C.D. WÌãLZHOLZ GMBH,6,0,915,HAGEN,51.392388,7.500756,Exact,DEU0059
GERMANY,100562,C.D. WÌãLZHOLZ GMBH,5,0,0,PLETTENBERG,51.231909,7.863574,Exact,DEU0060
GERMANY,100571,HUEHOCO,2,0,0,WUPPERTAL,51.294381,7.253491,Exact,DEU0061
GERMANY,100581,PLEISSNER GUSS GMBH,2,0,0,HERZBERG AM HARZ,51.640926,10.334053,Exact,DEU0062
GERMANY,100591,RISSE + WILKE KALTBAND,3,0,0,ISERLOHN-LETMATHE,51.357585,7.637405,Exact,DEU0063
GERMANY,100592,RISSE + WILKE KALTBAND,1,0,0,HAGEN-HOHENLIMBURG,51.357585,7.637405,Exact,DEU0064
GERMANY,100611,SANDE STAHLGUSS,2,0,0,SANDE (OLDENBURG),53.496381,8.038136,Exact,DEU0065
GERMANY,100651,HOESCH SCHWERTER PROFILE GMBH,1,0,150,SCHWERTE,51.437905,7.559176,Exact,DEU0066
GERMANY,100681,"KIND & CO, EDELSTAHLW.",5,0,21.5,WIEHL,50.964828,7.494326,Exact,DEU0067
GERMANY,100701,WW-K WARMWALZWERK KOENIGSWINTER,1,0,60,KOENIGSWINTER,50.687185,7.187815,Exact,DEU0068
GERMANY,100731,R.TWEER GMBH,1,0,17,BIELEFELD,51.942853,8.558592,Exact,DEU0069
GERMANY,100761,GUSTAV THEIS KALTWALZWERKE GMBH,6,0,360,HAGEN,51.384916,7.508575,Exact,DEU0070
GERMANY,100771,VACUUMSCHMELZE GMBH,8,0,17.5,HANAU,50.130571,8.929149,Exact,DEU0071
GERMANY,100791,WICKEDER WESTFALENSTAHL,4,0,20,WICKEDE,51.492453,7.871387,Exact,DEU0072
GERMANY,100801,STAHLWERK ANNAHÌÏTTE,1,0,110,HAMMERAU,47.794456,12.951824,Exact,DEU0073
GERMANY,100811,ZAPP PRECISION METALS GMBH,4,0,15,SCHWERTE,51.425959,7.576828,Exact,DEU0074
GERMANY,100812,ZAPP PRECISION METALS GMBH,1,0,0,UNNA,51.540406,7.669391,Exact,DEU0075
GERMANY,100831,STAHLGUSS SAAR GMBH,3,0,0,ST.INGBERT,49.276433,7.152355,Exact,DEU0076
GERMANY,100841,"HUGO VOGELSANG GMBH & CO, KG",3,0,0,HAGEN,51.367419,7.552765,Exact,DEU0077
GERMANY,100851,BGH EDELST. LIPPENDORF,4,0,2,LIPPENDORF,51.17221,12.378116,Exact,DEU0078
GERMANY,100861,ARCELORMITTAL EISENHÌÏTTENSTADT GMBH,18,2,20670,EISENHÌÏTTENSTADT,52.174595,14.61462,Exact,DEU0079
GERMANY,100881,ELBE STW FERALPI GMBH,5,0,3740,RIESA,51.312997,51.312997,Exact,DEU0080
GERMANY,100901,H.E.S GMBH (RIVA),8,0,4300,HENNIGSDORF,52.65723,13.214141,Exact,DEU0081
GERMANY,100911,STAHLWERK THÌÏRINGEN GMBH,4,0,4300,UNTERWELLENBORN,50.654881,11.438383,Exact,DEU0082
GERMANY,100921,BGH EDELST. FREITAL,11,0,603.6,FREITAL,50.995915,13.640463,Exact,DEU0083
GERMANY,100931,ELEKTROSTAHLWERK  GRÌÐDITZ GMBH,4,0,312,GRÌÐDITZ,51.405278,13.444067,Exact,DEU0084
GERMANY,100961,HFP BANDSTAHL GMBH,4,0,125,BAD SALZUNGEN,50.813156,10.223995,Exact,DEU0085
GERMANY,100981,B.E.S GMBH (RIVA),6,0,5800,BRANDENBURG,52.401995,12.499577,Exact,DEU0086
GERMANY,101001,ARCELORMITTAL HAMBURG GMBH,6,0,5450,HAMBURG,53.523602,9.898978,Exact,DEU0087
GERMANY,101021,ARCELORMITTAL RUHRORT GMBH,8,0,10250,DUISBURG,51.462336,6.747306,Exact,DEU0088
GERMANY,101051,AGOZAL GMBH,1,0,80,NEUWIED,50.432486,7.474259,Exact,DEU0089
GERMANY,101061,PEINER TRÌãGER GMBH,12,0,9455,PEINE,52.317817,10.23859,Exact,DEU0090
GERMANY,101071,ILSENBURGER GROBBLECH,1,0,740,ILSENBURG,51.873175,10.697596,Exact,DEU0091
GERMANY,101081,MUHR u. BENDER KG,1,0,60,ATTENDORN,51.118105,7.896989,Exact,DEU0092
FRANCE,200111,ARCELORMITTAL ATLANTIQUE ,19,,49650,DUNKERQUE,51.045896,2.318324,Exact,FRA0001
FRANCE,200112,ARCELORMITTAL ATLANTIQUE ,6,,6470,MARDYCK,51.03015,2.291517,Exact,FRA0002
FRANCE,200114,ARCELORMITTAL ATLANTIQUE ,4,,1290,MONTATAIRE,49.250619,2.4447328,Exact,FRA0003
FRANCE,200118,ARCELORMITTAL ATLANTIQUE ,1,,430,DESVRES,50.6614667,1.8368438,Exact,FRA0004
FRANCE,200121,ARCELORMITTAL FOS-SUR-MER,13,,38050,FOS-SUR-MER,43.4346525,4.8845711,Exact,FRA0005
FRANCE,200133,ARCELORMITTAL LORRAINE,2,,3780,FLORANGE-SEREMANGE,49.3215384,6.0847212,Exact,FRA0006
FRANCE,200136,ARCELORMITTAL LORRAINE,10,,8020,FLORANGE-ST.AGATHE,49.3190135,6.1434693,Exact,FRA0007
FRANCE,200137,ARCELORMITTAL LORRAINE,2,,340,MOUZON,49.6074794,5.0696301,Exact,FRA0008
FRANCE,200142,ARCELORMITTAL GANDRANGE,2,,550,GANDRANGE,49.264868,6.126414,Exact,FRA0009
FRANCE,200151,ASCOMETAL,5,,2240,DUNKERQUE,51.0547303,2.4629388,Exact,FRA0010
FRANCE,200152,ASCOMETAL,5,,2190,HAGONDANGE,49.2415367,6.1482837,Exact,FRA0011
FRANCE,200154,ASCOMETAL,6,,2360,FOS-SUR-MER,43.4438876,4.8404292,Exact,FRA0012
FRANCE,200161,UGITECH,8,,888,UGINE,45.7453846,6.4248912,Exact,FRA0013
FRANCE,200175,APERAM STAINLESS EUROPE,14,,1785,GUEUGNON,46.6036385,4.0642077,Exact,FRA0014
FRANCE,200176,APERAM STAINLESS EUROPE,6,0,1030,ISBERGUES,50.620868,2.4770937,Exact,FRA0015
FRANCE,200182,AUBERT & DUVAL FORTECH,4,0,30,PAMIERS,43.116238,1.605131,Exact,FRA0016
FRANCE,200191,ARCELORMITTAL INDUSTEEL FRANCE,7,,476,LE CREUSOT,46.8036321,4.4327628,Exact,FRA0017
FRANCE,200192,ARCELORMITTAL INDUSTEEL FRANCE,4,,375,"CHATEAUNEUF,R. DE GIERS",45.534861,4.6349221,Exact,FRA0018
FRANCE,200201,ALPA (RIVA),4,,2800,GARGENVILLE,48.9854115,1.7566972,Exact,FRA0019
FRANCE,200211,ASCOMETAL,1,,80,"LE CHEYLAS, GONCELIN",45.381534,5.9971256,Exact,FRA0020
FRANCE,200241,AUBERT & DUVAL ALLIAGES,15,,300,LES ANCIZES,45.9263736,2.8384644,Exact,FRA0021
FRANCE,200261,AC. DE BONPERTUIS,3,,15,BONPERTUIS,45.3968479,5.5281554,Exact,FRA0022
FRANCE,200301,NLMK COATING SA,5,,1140,BEAUTOR,49.6555945,3.3347493,Exact,FRA0023
