,uid,featureId,geometry,acquisitionDate,acquisitionTime,sensorType,source,sourceUnit,productType,CE90Accuracy,RMSEAccuracy,cloudCover,offNadirAngle,sunElevation,sunAzimuth,groundSampleDistance,groundSampleDistanceUnit,dataLayer,legacyDescription,outputMosaic,colorBandOrder,assetName,assetType,legacyId,factoryOrderNumber,perPixelX,perPixelY,crsFromPixels,url,ageDays,formattedDate,ingestDate,spatialAccuracy,earliestAcquisitionDate,latestAcquisitionDate,pixelsIngested,preciseGeometry,vendorName,vendorReference,companyName,acquisitionType,orbitDirection,licenseType,isBrowse,isMirrored,isMultipleWKB,copyright,beamMode,polarisationMode,polarisationChannel,antennaLookDirection,niirs,tagsAsString,bbox
0,ALB0002,4d670bf08079abd20d9c0a4bab1a5500,None,2020-10-17 09:39:44,939,None,WV03_VNIR,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.031655125,27.044062,39.033882,164.80638,0.30,Meter,daily_take,AOI5A_L3_WV3,false,RGB,FINISHED,PRODUCT_GEOMETRY,104005002ADC8400,013224374-10,2.7E-6,-2.7E-6,EPSG:4326,None,173,2020-10-17,2020-10-17 13:44:59,"1:12,000",2020-10-17 09:39:44,2020-10-17 09:39:44,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.4,None,"40.45750512453159,19.495515951709557,40.467208522326764,19.508220048290447"
0,BEN0001,5413da7b05e002eb0269ab37b3b6bdb2,None,2021-01-04 10:31:54,1031,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.21623291,22.903337,53.923042,146.38197,0.50,Meter,daily_take,AOI8_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100B4A07800,013568482-10,4.5E-6,-4.5E-6,EPSG:4326,None,94,2021-01-04,2021-01-04 15:12:43,"1:12,000",2021-01-04 10:31:54,2021-01-04 10:31:54,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2021 DigitalGlobe Inc,None,None,None,None,4.9,None,"7.137227393487427,2.5389339517095557,7.149916517300094,2.551638048290444"
0,BGD0017,6fefe35d16d00e702df279dd276c6434,None,2020-11-23 04:35:22,435,None,WV03_VNIR,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,28.009975,42.8698,157.80042,0.30,Meter,daily_take,AOI6_L3_WV3,false,RGB,FINISHED,PRODUCT_GEOMETRY,104001006379A900,013390843-10,2.7E-6,-2.7E-6,EPSG:4326,None,136,2020-11-23,2020-11-23 08:02:05,"1:12,000",2020-11-23 04:35:22,2020-11-23 04:35:22,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.4,None,"23.928242324283957,90.60673295170955,23.939919408684965,90.61943704829042"
0,BOL0010,f42661bbdafa01c7565be68f699ebd32,None,2019-05-20 14:18:01,1418,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0034113568,13.412069,45.167576,31.249437,0.40,Meter,daily_take,AOI10_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,1030010093C73A00,010121155-10,0.4,-0.4,EPSG:32721,None,689,2019-05-20,2019-05-20 20:02:29,"1:12,000",2019-05-20 14:18:05,2019-05-20 14:18:05,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2019 DigitalGlobe Inc,None,None,None,None,5.0,None,"-18.95715784993539,-58.284380048290444,-18.945069928517988,-58.27167595170955"
0,BRA0003,93bc92873f2a15d8349c4c5ad8801f0d,None,2020-10-13 13:46:13,1346,None,WV03_VNIR,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,5.099919E-4,24.355074,64.614174,50.505795,0.30,Meter,daily_take,AOI10_L3_WV3,false,RGB,FINISHED,PRODUCT_GEOMETRY,10400100609DA600,013203075-10,2.7E-6,-2.7E-6,EPSG:4326,None,177,2020-10-13,2020-10-13 17:25:36,"1:12,000",2020-10-13 13:46:13,2020-10-13 13:46:13,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.4,None,"-25.463795269888372,-49.616482679965735,-25.45226171411562,-49.603778583384845"
0,BRA0023,8fd18d03252759afdf7daf8d292e279e,None,2020-06-10 13:25:37,1325,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.065591656,28.117884,41.92523,28.152367,0.50,Meter,daily_take,AOI10_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100A6529600,012658636-10,4.5E-6,-4.5E-6,EPSG:4326,None,302,2020-06-10,2020-06-10 17:11:21,"1:12,000",2020-06-10 13:25:37,2020-06-10 13:25:37,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.8,None,"-19.613285396291516,-44.06452604829044,-19.601246375746154,-44.051821951709556"
0,BRA0026,48daaa1a1f78549488c7dd61c2a98658,None,2020-09-12 13:23:26,1323,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,15.41764,51.425735,46.61112,0.40,Meter,daily_take,AOI10_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,105001001FA16200,013059649-10,3.6E-6,-3.6E-6,EPSG:4326,None,208,2020-09-12,2020-09-12 19:49:04,"1:12,000",2020-09-12 13:23:26,2020-09-12 13:23:26,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.1,None,"-24.524678355721658,-48.86236604829045,-24.513055372427758,-48.84966195170956"
0,BRA0027,39cc0ee283b188e2b3ce4bfef677acec,None,2019-01-15 14:17:32,1417,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.043833666,26.507475,66.98053,96.07872,0.50,Meter,daily_take,AOI10_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,103001008A586000,058998087-10,0.5,-0.5,EPSG:32721,None,814,2019-01-15,2019-01-15 20:26:25,"1:12,000",2019-01-15 14:17:32,2019-01-15 14:17:32,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2019 DigitalGlobe Inc,None,None,None,None,4.8,None,"-20.479651316574657,-56.73577247539384,-20.467679301387665,-56.72306837881295"
0,BRA0034,7d0c8524a4e908851a29bb604a9b1191,None,2020-08-01 13:11:15,1311,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.082444355,25.684153,41.9626,37.96071,0.50,Meter,daily_take,AOI10_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100AB65EF00,012891924-10,4.5E-6,-4.5E-6,EPSG:4326,None,250,2020-08-01,2020-08-01 16:39:46,"1:12,000",2020-08-01 13:11:15,2020-08-01 13:11:15,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.8,None,"-21.200741950016845,-44.945094048290436,-21.188827807014707,-44.932389951709546"
0,BRA0036,c2ff71e23355bf17e3afdfc230f2da9f,None,2020-12-13 12:27:41,1227,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.25922883,27.915592,59.802467,125.22317,0.50,Meter,daily_take,AOI7_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100B38F8E00,013481544-10,4.5E-6,-4.5E-6,EPSG:4326,None,116,2020-12-13,2020-12-13 19:45:28,"1:12,000",2020-12-13 12:27:41,2020-12-13 12:27:41,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.8,None,"-7.134738730586294,-34.900540048290445,-7.122049180386698,-34.887835951709555"
0,BRA0046,8c264a789b93222993c31d005b61e862,None,2020-06-07 14:10:53,1410,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.027748084,22.135624,54.643185,38.891693,0.40,Meter,daily_take,AOI7_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,105001001DA70600,012643759-10,3.6E-6,-3.6E-6,EPSG:4326,None,305,2020-06-07,2020-06-07 16:55:43,"1:12,000",2020-06-07 14:10:53,2020-06-07 14:10:53,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.0,None,"-4.328138405054747,-56.22632004829044,-4.315385540602029,-56.213615951709556"
0,BRA0048,13342bb9412cfd075a4e9726e8ee313c,None,2020-12-15 12:54:42,1254,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.10689006,28.411837,61.803078,131.94489,0.50,Meter,daily_take,AOI7_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100AF6E1F00,013489454-10,4.5E-6,-4.5E-6,EPSG:4326,None,114,2020-12-15,2020-12-15 15:49:06,"1:12,000",2020-12-15 12:54:42,2020-12-15 12:54:42,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.8,None,"-5.210029118803444,-37.399415048290436,-5.197292815880199,-37.386710951709546"
0,BRA0052,6c714996954133f130582eb27d915671,None,2020-12-05 14:29:25,1429,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.10551323,6.0726085,62.50542,136.10724,0.40,Meter,daily_take,AOI7_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,1050010021530C00,013445549-10,3.6E-6,-3.6E-6,EPSG:4326,None,124,2020-12-05,2020-12-05 18:35:52,"1:12,000",2020-12-05 14:29:39,2020-12-05 14:29:39,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.2,None,"-3.096712414689802,-59.92139304829044,-3.083941546376405,-59.90868895170954"
0,BRA0068,2b1f4ee6b5e8ca33d514262f99dc7734,None,2019-09-17 13:46:01,1346,None,WV03_VNIR,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,21.503569,56.4378,40.567394,0.30,Meter,daily_take,AOI10_L3_WV3,false,RGB,FINISHED,PRODUCT_GEOMETRY,10400100518F5300,011018231-10,2.7E-6,-2.7E-6,EPSG:4326,None,569,2019-09-17,2019-09-17 17:07:19,"1:12,000",2019-09-17 13:46:02,2019-09-17 13:46:02,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2019 DigitalGlobe Inc,None,None,None,None,5.5,None,"-24.675263290593556,-48.986311048290446,-24.66365443633349,-48.973606951709556"
