iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax,rank,pop2020,GrowthRate
AFG,AFG0003,Afghanistan,Integrated,,Jabal Saraj Cement,"Jabal Saraj, Parwan",Operating,35.1186016,69.19368259999989,GCD,Approximate,,,,,,,,,1 Wet - 0.03Mt/yr (Re-opened 2016)),1.0,WET,,,0.03,Mt/yr,,,,,38928.346,0.0233
BGD,BGD0011,Bangladesh,Integrated,Sylhet Plant,Islam Cement,Sylhet,Operating,24.89922,91.8685271,GCD,Approximate,,,,,,,,,1 Dry - 0.6Mt/yr,1.0,DRY,,,0.6,Mt/yr,,,,,164689.383,0.0101
BGD,BGD0012,Bangladesh,Integrated,Sunamgaji Plant,Jalalabad Cement,Sunamgaji,Operating,24.4768783,90.2932426,GCD,Approximate,,,,,,,,,1 Dry - 0.3Mt/yr,1.0,DRY,,,0.3,Mt/yr,,,,,164689.383,0.0101
BGD,BGD0015,Bangladesh,Integrated,Daudkandi Plant,Modern Cement Plant,Daudkandi,Operating,22.6192448,91.65793458,GCD,Approximate,,,,,,,,,1 Wet - 0.2Mt/yr,1.0,WET,,,0.2,Mt/yr,,,,,164689.383,0.0101
BGD,BGD0044,Bangladesh,Grinding,Siddhirgonj Plant,Eastern Cement Industries Ltd,"Siddhirgonj, Narayangonj",Operating,23.743766,90.395023,GCD,Approximate,,,,,,,,,0.396Mt/yr 1x75t/hr,,,,,0.396,Mt/yr,,,,,164689.383,0.0101
BGD,BGD0045,Bangladesh,Grinding,Dhaka Plant,Aman Cement Mills Ltd,"Baiddyer Bazar, Sonargaon, Narayanganj",Operating,23.870851000000002,90.403009,GCD,Approximate,,,,,,,,,2.64Mt/yr 2x250t/hr Loesche VRMs,,,,,2.64,Mt/yr,,,,,164689.383,0.0101
BGD,BGD0046,Bangladesh,Grinding,Danga Plant,Bengal Tiger Cement Industries Ltd,"Danga, Palash Narshindi",Operating,23.906251,90.594138,GCD,Approximate,,,,,,,,,0.158Mt/yr 1x30t/hr,,,,,0.158,Mt/yr,,,,,164689.383,0.0101
GEO,GEO0005,Georgia,Integrated,,Xinjiang Tianshan Cement / Xinjiang Hualing Industry & Trade,,Operating,42.201353000000005,43.41152,GCD,Approximate,,,,,,,,,1.2Mt/yr,,,,,1.2,Mt/yr,,,,,3989.167,-0.0019
IND,IND0001,India,Grinding,,AA Energy,"Wadsa, Gadchiroli, Maharashtra",Operating,19.7612168,80.15234685,GCD,Approximate,,,,,,,,,0.04Mt/yr,,,,,0.04,Mt/yr,,,,,1380004.385,0.0099
IND,IND0037,India,Grinding,Port Pilikadu Plant,Asian Pulverising,"Port Palikadu, Kumarapalayam, Namakkal, Tamil Nadu",Operating,11.4425129,77.6939806,GCD,Approximate,,,,,,,,,,,,,,,,,,,,1380004.385,0.0099
