iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
DZA,DZA0002,Algeria,Integrated,,ASEC Cement Algerie,Djelfa City,Operating,34.671359,3.254037,GCD,Approximate,,,,,,,,,2 Dry - 2.0Mt/yr New 1.5Mt/yr CBMI line due 2020,2.0,DRY,,,2.0,Mt/yr,Benali Tegguer,Tel: +213 770 254242,Fax: +213 219 19591
DZA,DZA0003,Algeria,Integrated,,China Triumph International Engineering Group (CTIEC),"Adrar struction, 2018)",Operating,27.8733807,-0.2874884,GCD,Approximate,,,,,,,,,1.5Mt/yr (2nd 1.4Mt/yr line under con- 0.2Mt/yr (Oil well cement),,,,,1.5,Mt/yr,,,
DZA,DZA0008,Algeria,Integrated,Ain El Kebira Plant,Entreprise des Ciments et Dérivés Est (ERCE),Constantine,Operating,36.358101,6.638186,GCD,Approximate,,,,,,,,,1 Dry - 1.05Mt/yr,1.0,Dry,,,1.05,Mt/yr,,Tel: +213 3691 9655,Fax: +213 3691 9656
BRA,BRA0013,Brazil,Integrated,Dionisio Torres Plant,Cimento Apodi,"Dionisio Torres, Fortaleza, Ceará",Operating,-3.7480271000000003,-38.5064872,GCD,Approximate,,,,,,,,,0.6Mt/yr,,,,,0.6,Mt/yr,,Tel: +55 85 3311 7575,
BRA,BRA0015,Brazil,Integrated,,Cimento Rio Branco,Rio de Janeiro,Operating,-22.9110136999999,-43.2093727,GCD,Approximate,,,,,,,,,1 Semidry - 0.2Mt/yr,1.0,SEMIDRY,,,0.2,Mt/yr,Cid de Carvalho Cruz,Tel: +55 21 2481 2666,
BRA,BRA0019,Brazil,Integrated,Suape Plant,Cimentos La Union,"Suape, Ipojuca, Pernambuco",Operating,-8.36323385,-35.00893833,GCD,Approximate,,,,,,,,,0.5Mt/yr,,,,,0.5,Mt/yr,,,
BRA,BRA0031,Brazil,Integrated,Cerrado Grande Plant,InterCement Brasil,"Ponta Grossa, Campos Gerais",Operating,-25.1371368,-49.879234000000004,GCD,Approximate,,,,,,,,,1.2Mt/yr - Project,,,,,1.2,Mt/yr,,,
BRA,BRA0084,Brazil,Integrated,Pedro Leopoldo Plant,Votorantim Cimentos,"Pedro Leopoldo, Minas Gerais",Operating,-19.618484,-44.041348,GCD,Approximate,,,,,,,,,2 Kilns - 2.6Mt/yr,,,,,2.6,Mt/yr,Mauricio Anacleto,Tel: +55 11 3718 4330,Fax: +55 11 3718 4291
BFA,BFA0006,Burkina Faso,Grinding,,CIMFASO (Cim Metal Group),Bobo-Dioulasso,Operating,11.174992,-4.301004,GCD,Approximate,,,,,,,,,2Mt/yr,,,,,2.0,Mt/yr,,,
CHL,CHL0014,Chile,Integrated,,Cementos San Juan,"San Juan, V Region",Operating,-33.2022642,-71.6122365999999,GCD,Approximate,,,,,,,,,0.3Mt/yr,,,,,0.3,Mt/yr,,+56 35 353 05,+56 35 353 050
