iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax,rank,pop2020,GrowthRate
AFG,AFG0001,Afghanistan,Integrated,Ghori II Plant,Ghori Cement,"Baghlan, Pul-e-Khumri",Operating,35.96580023,68.68633787,GCD,Exact,,,,,,,,,2 Wet - 0.4Mt/yr (Unfinished - To be closed when Ghori III is completed),2.0,WET,,,0.4,Mt/yr,,,,,38928.346,0.0233
ARM,ARM0001,Armenia,Integrated,Araratcement Plant,Cementos Avellaneda,Ararat,Operating,39.855755,44.730945,GCD,Exact,4296860538.0,Araratcement Ojsc(Armenia),,,https://www.araratcement.am/history,2020-02-16,,Multi Group Concern,1 Dry - 0.9Mt/yr,1.0,DRY,,,0.9,Mt/yr,Levon Ambartsumyan,Tel: +374 384 1737,,,2963.243,0.0019
ARM,ARM0002,Armenia,Integrated,Mika Plant,Cementos Avellaneda,Hrazdan,Operating,40.569855,44.748048,GCD,Exact,,Khachaturov Group,,,https://www.khachaturovgroup.am/about/,2020-02-16,,Khachaturov Group,2 Wet - 1.2Mt/yr,2.0,WET,,,1.2,Mt/yr,Naina Martirosyan,Tel: +374 232 3742,Fax: +374 232 6511,,2963.243,0.0019
AZE,AZE0001,Azerbaijan,Integrated,Gazakh Plant,Akkord Cement,"Dash Salahli, Gazakh",Operating,41.16592,45.254606,GCD,Exact,,,,,,,,,1 Dry - 1.0Mt/yr,1.0,DRY,,,1.0,Mt/yr,,Tel:+994 124 044 404,Fax: +994 514 114 404,,10139.177,0.0091
AZE,AZE0002,Azerbaijan,Integrated,Garadagh Plant,Holcim Azerbaijan (LafargeHolcim),Baku,Operating,40.224409,49.556633000000005,GCD,Exact,5036791377.0,Holcim Azarbaijan ASJ,,,https://www.holcim.az/az/haqqimizda/qaradag-sement-zavodunun-holcim-azrbaycan-asc-tarixi,2020-02-09,4295890620.0,LafargeHolcim Ltd,4 Dry - 1.7Mt/yr,4.0,DRY,,,1.7,Mt/yr,Rossen Papazov,Tel: +994 12 44 18 888,Fax: +994 12 44 61 881,,10139.177,0.0091
AZE,AZE0003,Azerbaijan,Integrated,Gizildash Plant,Norm Cement,"Gizildash, Baku",Operating,40.251212,49.447206,GCD,Exact,,,,,,,,,1 Dry - 2.0Mt/yr,1.0,DRY,,,2.0,Mt/yr,Murad Sadikov,Tel: +994 12 310 1010,Fax: +994 12 310 1020,,10139.177,0.0091
BHR,BHR0001,Bahrain,Grinding,Muharraq Plant,"Star Cement (UltraTech Cement Bahrain Company WLL, part of Aditya Birla)","Hidd, Manama",Operating,26.220002,50.656492,GCD,Exact,5074497900.0,Ultratech Cement Bahrain Co WLL,,,http://www.starcement.ae/index.php/contact-us,2020-08-07,4295872971.0,Grasim Industries Ltd,0.4Mt/yr,,,,,0.4,Mt/yr,,Tel: +973 1767 1011,Fax: +973 1767 1698,,1701.575,0.0368
BHR,BHR0002,Bahrain,Integrated,,Falcon Cement,Hafirah 955,Operating,26.03186,50.594119,GCD,Exact,,,,,,,,,0.4Mt/yr,,,,,0.4,Mt/yr,,Tel: +973 7714 4443,,,1701.575,0.0368
BGD,BGD0001,Bangladesh,Grinding,Akij Plant,Akij Cement,"Narayangonj, Dhaka",Operating,23.625073,90.514676,GCD,Exact,,,,,,,,,Loesche LM 46.2+2 C/S,,,,,,,,Tel: +88 171 119 110,,,164689.383,0.0101
BGD,BGD0002,Bangladesh,Grinding,Madangonj Plant,Bashundhara Industrial Complex,"Madangonj, Narayangonj",Operating,23.587847,90.51646600000001,GCD,Exact,,,,,,,,,2.1Mt/yr - Loesche 56.3+3 S,,,,,2.1,Mt/yr,,Tel: +88 27 648 0809,Fax: +88 28 401 296,,164689.383,0.0101
