iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
CHN,CHN0003,China,Grinding,Nanchang Plant,Anhui Conch,"1699 North Road, Nanchang (330200), Jiangxi",Operating,28.492576,115.951121,GCD,Exact,4298500103.0,Nanchang Conch Cement Co Ltd,1.5,2003.0,http://english.conch.cn/jiangsusheng11/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,1.5Mt/yr - Grinding System: 2x (Φ4.2m x11m) Roller Press,,,,,1.5,Mt/yr,,Tel: +86 791 85984986,Fax: +86 791 85704888
CHN,CHN0004,China,Grinding,,Anhui Conch,"2299 Gaoqiao Road, Pu Dong Xin Qu (200137), Shanghai",Operating,31.355912,121.517068,GCD,Exact,5000026093.0,Shanghai Conch Mingzhu Cement Co Ltd,0.9,1995.0,http://english.conch.cn/ahcz11/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,0.9Mt/yr,,,,,0.9,Mt/yr,,Tel: +86 21 58640905,Fax: +86 21 58641720
CHN,CHN0005,China,Grinding,Bengbu Plant,Anhui Conch,"80 Longzihu Road, Bengbu, Anhui",Operating,32.923638000000004,117.439757,GCD,Exact,5000067388.0,Bengbu Conch Cement Co Ltd,2.4,2007.0,http://english.conch.cn/anhui78810406875813731274801904673082/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,2.4Mt/yr - Grinding System: 4x (Φ3.8mx13m),,,,,2.4,Mt/yr,,Tel: +86 552 3163893,Fax: +86 552 3163891
CHN,CHN0007,China,Grinding,Fengxian Plant,Anhui Conch,"90 Du Pu Road, Fengxian (201401), Shanghai",Operating,31.00661,121.442527,GCD,Exact,5000087672.0,Shanghai Conch Cement Co Ltd,,1972.0,http://english.conch.cn/ahwhhl1/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,2.1Mt/yr - Grinding System: 2x (Φ2.2m x16m); 1x (Φ3m x9m); 1x (Φ3.8m x13m),,,,,2.1,Mt/yr,,Tel: +86 21 57159541,Fax: +86 21 57159808
CHN,CHN0008,China,Grinding,Zhangjiang Plant,Anhui Conch,"Daxin, Zhangjiagang, Jiangsu",Operating,31.993157,120.576024,GCD,Exact,5000043460.0,Zhangjiagang Conch Cement Co Ltd,,,http://english.conch.cn/jiangsusheng006297150843/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,3.2Mt/yr - Grinding System: 4x (Φ4.2m x11m),,,,,3.2,Mt/yr,,Tel: +86 512 58768976,Fax: +86 512 58712715
CHN,CHN0009,China,Grinding,Shangyu Plant,Anhui Conch,"Dongguan Street, Shangyu (312352), Zhejiang",Operating,30.010728000000004,120.804755,GCD,Exact,5000063210.0,Shangyu Conch Cement Co Ltd,1.0,2003.0,http://english.conch.cn/jiangsusheng1/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,1.2Mt/yr - Grinding system: 2x (Φ3.8m x13m),,,,,1.2,Mt/yr,,Tel: +86 575 82051132,Fax: +86 575 82052452
CHN,CHN0010,China,Grinding,Huai’an Chuzhou Plant,Anhui Conch,"Fanji Zhen Industrial Park, Chuzhou, Huai’an (223215), Jiangsu",Operating,33.417669000000004,119.04240800000001,GCD,Exact,5000053249.0,Huaian Chuzhou Conch Cement Co Ltd,4.4,,http://english.conch.cn/jiangsusheng00629715084357830120545413950939/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,4.4Mt/yr,,,,,4.4,Mt/yr,,Tel: +86 517 85868010,Fax: +86 517 85868000
CHN,CHN0011,China,Grinding,Huainan Plant,Anhui Conch,"Fengtai (232100), Huainan, Anhui",Operating,32.695577,116.74814599999999,GCD,Exact,5036205954.0,Huainan Conch Cement Co Ltd,4.4,2011.0,http://english.conch.cn/anhui160299544/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,4.4Mt/yr - Grinding System: 2x (Φ4.2mx13m) Roller Press,,,,,4.4,Mt/yr,,Tel: +86 554 8916802,Fax: +86 554 8916805
CHN,CHN0012,China,Grinding,Lu’an Plant,Anhui Conch,"Fenlukouzhen, Yu’an, Lu’an, Anhui",Operating,31.748599,116.33138600000001,GCD,Exact,,Lu'an Conch Cement Co Ltd,3.3,2009.0,http://english.conch.cn/anhui16029/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,3.3Mt/yr - Grinding System: 3x (Φ4.2m) roller press ball mill,,,,,3.3,Mt/yr,,,
CHN,CHN0013,China,Grinding,Foshan Plant,Anhui Conch,"Gaoming, Foshan (528500), Guangdong",Operating,22.979917,112.850388,GCD,Exact,5000068094.0,Foshan Conch Cement Co Ltd,,2010.0,http://english.conch.cn/111334397909804/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,2Mt/yr - Grinding System: 2x (Φ4.2m x13m) Roller Press,,,,,2.0,Mt/yr,,Tel: +86 757 88818059,Fax: +86 757 88818801
CHN,CHN0014,China,Grinding,Huangshan Plant,Anhui Conch,"Guilin, Huangshan (245200), Anhui",Operating,29.907604,118.473234,GCD,Exact,5036205962.0,Huangshan Conch Cement Co Ltd ,2.2,,http://english.conch.cn/anhui1602995446895198187157540/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,2.2Mt/yr - Grinding System: 2x (Φ4.2mx13m),,,,,2.2,Mt/yr,,Tel: +86 559 6609999,Fax: +86 559 6918888
CHN,CHN0015,China,Grinding,Taizhou Plant,Anhui Conch,"Hai, Taizhou (318016), Zhejiang",Operating,28.696463,121.46805400000001,GCD,Exact,5000014406.0,Taizhou Conch Cement Co Ltd,,2008.0,http://english.conch.cn/jiangsusheng0062971508431/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,1.8Mt/yr - 3x (Φ3.8m x13m),,,,,1.8,Mt/yr,,Tel: +86 576 88804012,Fax: +86 576 89081228
CHN,CHN0016,China,Grinding,Haimen Plant,Anhui Conch,"Haimen (226100), Jiangsu",Operating,31.78915,121.102005,GCD,Exact,5000076147.0,Haimen Conch Cement Co Ltd,3.2,2004.0,http://english.conch.cn/jiangsusheng006297150843578301205454/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,3.4Mt/yr - Grinding System: 4x (Φ4.2m x14.5m),,,,,3.4,Mt/yr,,Tel: +86 513 82901000,Fax: +86 513 82901978
