iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
DZA,DZA0011,Algeria,Integrated,,jb (49% PPC),Sétif,Under Construction,36.18947470000001,5.4046663,GCD,Approximate,,,,,,,,,2.2Mt/yr (Under construction),,,,,2.2,Mt/yr,,,
DZA,DZA0012,Algeria,Integrated,,La Biskrie des Ciments,,Under Construction,28.215584000000003,2.603655,GCD,Approximate,,,,,,,,,1Mt/yr (Due in December 2015),,,,,1.0,Mt/yr,,,
BOL,BOL0013,"Bolivia, Plurinational State of",Integrated,,Empresa Publica Productiva Cementos de Bolivia (ECEBOL),"Chiutara, Potosí",Under Construction,-19.573982,-65.756086,GCD,Approximate,,,,,,,,,1.3Mt/yr (Construction started March 2017),,,,,1.3,Mt/yr,,,
BRA,BRA0096,Brazil,Integrated,Sobral Plant II,Votorantim Cimentos,"Sobral, Ceará",Under Construction,-3.6879135,-40.34563720000001,GCD,Approximate,,,,,,,,,1Mt/yr (Due 2017),,,,,1.0,Mt/yr,,,
CHN,CHN1043,China,,,China National Building Materials,,Under Construction,27.767243,115.395725,http://www.scement.cn/cn/map-hunan.aspx?id=114,Exact,,"Jiangxi Xingan South Cement Co., Ltd.",,,http://www.scement.cn/cn/map-hunan.aspx?id=114,2020-02-14,5000060466.0,China National Building Materials Group Co Ltd,,,,,,,,,,
COL,COL0012,Colombia,Integrated,Cementera del Magdalena Medio SAS Plant,Cemex Colombia,"Maceo, Antioquia",Under Construction,7.000008500000002,-75.5000085999999,GCD,Approximate,,,,,,,,,1.0Mt/yr (Under construction),,,,,1.0,Mt/yr,,,
COL,COL0030,Colombia,Grinding,,Holcim Colombia,Buenaventura,Under Construction,3.942012,-76.274842,GCD,Approximate,,,,,,,,,0.5Mt/yr (Coming 2019),,,,,0.5,Mt/yr,,,
ETH,ETH0002,Ethiopia,Grinding,Menagasha Plant,Dangote Cement,Menagasha,Under Construction,10.211670199999899,38.6521203,GCD,Approximate,,,,,,,,,"Loesche 2x LM53.3+3C Under construction, 2019",,,,,,,,,
FRA,FRA0049,France,Grinding,Fos sur Mer Plant,Sudvrac (CIMAT),,Under Construction,43.437909000000005,4.945807,GCD,Approximate,,,,,,,,,(Coming 2019),,,,,,,,,
FRA,FRA0050,France,Grinding,Portes-les-Valance Plant,Cem’in’EU - Rhone Ciments,,Under Construction,44.875066,4.877044000000001,GCD,Approximate,,,,,,,,,0.24Mt/yr (Coming 2020),,,,,0.24,Mt/yr,,,
GEO,GEO0007,Georgia,Integrated,,Project,"Senaki, Semegrelo",Under Construction,42.268602,42.063045,GCD,Approximate,,,,,,,,,1.5Mt/yr (Under construction),,,,,1.5,Mt/yr,,,
GHA,GHA0008,Ghana,Grinding,,Ghana-Iran grind- ing plant,Dawa Industrial Enclave,Under Construction,5.868739,0.26566,GCD,Approximate,,,,,,,,,0.6Mt/yr - Completion late,,,,,0.6,Mt/yr,,,
IND,IND0027,India,Integrated,Rajasthan plant,Ambuja Cements (LafargeHolcim),Rajasthan,Under Construction,26.8105777,73.76845490000002,GCD,Approximate,,,,,,,,,1.5Mt/yr (Under construction),,,,,1.5,Mt/yr,,,
IND,IND0070,India,Grinding,,Chettinad Cement,"Vishakapatnam, Andhra Pradesh",Under Construction,17.72131135,83.29005112,GCD,Approximate,,,,,,,,,2.0Mt/yr (Under construction),,,,,2.0,Mt/yr,,,
IND,IND0131,India,Integrated,,KJS Cement,"Rajnagar, Satna, Madhya Pradesh",Under Construction,24.5,81.0,GCD,Approximate,,,,,,,,,2.3Mt/yr (Under construction),,,,,2.3,Mt/yr,,,
IND,IND0136,India,Grinding,,Kesoram Industries,"Solarpur, Maharashtra",Under Construction,19.531932,76.0554568,GCD,Approximate,,,,,,,,,1.5Mt/yr (Under construction),,,,,1.5,Mt/yr,,,
IND,IND0183,India,Grinding,,Reliance Cement,"Gowribidanur Taluk, Karnataka",Under Construction,13.611452300000002,77.51678050000002,GCD,Approximate,,,,,,,,,3.0Mt/yr (Under construction),,,,,3.0,Mt/yr,,,
IND,IND0188,India,Integrated,Wani plant,Reliance Cement (Birla Corporation),"Wani, Maharashtra",Under Construction,20.0574,78.9565,GCD,Approximate,,,,,,,,,5.0Mt/yr (Under construction),,,,,5.0,Mt/yr,,,
IND,IND0199,India,Grinding,Dhenkanal Plant,Shree Cement,"Dhenkanal, Odisha",Under Construction,20.75,85.5,GCD,Approximate,,,,,,,,,3.0Mt/yr (Under construction),,,,,3.0,Mt/yr,,,
IND,IND0271,India,Integrated,Gulbarga plant,Zuari Cement (HeidelbergCement),"Gulbarga, Karnataka",Under Construction,17.3310003,76.8334228,GCD,Approximate,,,,,,,,,3.2Mt/yr (Under construction),,,,,3.2,Mt/yr,,,
IND,IND0303,India,Integrated,,My Home Industries (CRH / My Home Group),"Amaravati, Andhra Pradesh",Under Construction,16.509064000000002,80.510014,GCD,Approximate,,,,,,,,,1 Dry - 1.5Mt/yr (Complete by 2019),1.0,DRY,,,1.5,Mt/yr,,Tel: +91 24 9265 5076,Fax: +91 29 4265 5077
IDN,IDN0004,Indonesia,Integrated,,PT Semen Grobogan,"Grobogan, Central Java Toni Santoso",Under Construction,-7.0320002000000015,110.91697820000002,GCD,Approximate,,,,,,,,,"2.5Mt/yr (Construction started 2019, scheduled for completion in 2020)",,,,,2.5,Mt/yr,,,
IDN,IDN0012,Indonesia,Integrated,,Indocement Tunggal Prakarsa (HeidelbergCement),North Sumatra,Under Construction,2.1923519000000002,99.3812201,GCD,Approximate,,,,,,,,,2.5Mt/yr (Due in 2018),,,,,2.5,Mt/yr,,,
IDN,IDN0014,Indonesia,Integrated,,Indocement Tunggal Prakarsa (HeidelbergCement),"Pati, Central Java",Under Construction,-6.74277029999999,111.0401632,GCD,Approximate,,,,,,,,,2.5Mt/yr (Due in 2018),,,,,2.5,Mt/yr,,,
IDN,IDN0028,Indonesia,Integrated,,Semen Indonesia,"Pidie, Aceh",Under Construction,5.485878,95.890146,GCD,Exact,,,,,,,,,3Mt/yr (Due in 2019-2020),,,,,3.0,Mt/yr,,,
IDN,IDN0046,Indonesia,,,,,Under Construction,,,http://english.conch.cn/1113343979098041/list.aspx,Approximate,,Indonesian Baru Conch Cement Co Ltd,,,http://english.conch.cn/fdfdg62434819220077334639/list.aspx,2020-02-11,4295864310.0,Anhui Conch Cement Co Ltd,,,,,,,,,,
