iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership
AUS,AUS0011,Australia,1.0,,,0.0,BLUESCOPE STEEL,WESTERN SYDNEY,Operating,-33.8757124,151.2092035,PlantFacts,Approximate,,,,,,,,,,,,,
BLR,BLR0002,Belarus,1.0,,,0.0,MIORY ROLLING MILL (MMPZ-group),"MIORY, VITEBSKAYA",Operating,53.924526,27.511219,PlantFacts,Approximate,,,,,,,,,,,,,
BRA,BRA0051,Brazil,1.0,,,0.0,GERDAU ACOS VILLARES SA,"SOROCABA, SP",Operating,-23.5015338,-47.452594399999995,PlantFacts,Approximate,,,,,,,,,,,,,
BRA,BRA0058,Brazil,1.0,,,0.0,CIA. IND. ITAUNENSE,"ITAUNA, MG",Operating,-20.057648,-44.606158,PlantFacts,Approximate,,,,,,,,,,,,,No idea which facility in the area this one refers to
BRA,BRA0060,Brazil,1.0,1.0,180.0,0.0,MMX MINERACAO E METALICOS SA,"CORUMBA, MS",Operating,-19.023313,-57.621604000000005,PlantFacts,Approximate,4295860310,MMX Mineração e Metálicos S.A.,,,http://www.mmx.com.br/show.aspx?idCanal=xtbcR0qZQ71ieFEq0nPVng== ; https://www.bnamericas.com/en/news/brazil-court-orders-winding-up-of-mmx,2020-02-19,5001422351.0,Ebx Group,,,,,"Unclear where the facility is. Company filed for bankruptcy protection in 2016, parent company EBX Group (website NA). Port assets sold off, no idea what happened to this plant. "
BRA,BRA0061,Brazil,4.0,4.0,480.0,0.0,COSIPAR,"MARABA CITY, PARA",Operating,-5.4324959999999995,-49.07869,PlantFacts,Approximate,,,,,,,,,,,,,No idea which facility in the area this one refers to
BRA,BRA0062,Brazil,2.0,2.0,200.0,0.0,GERDAU MARGUSA,"BACABEIRA, MARANHAO",Operating,-2.960714,-44.328337,PlantFacts,Approximate,,,,,,,,,,,,,No idea which facility in the area this one refers to
BRA,BRA0063,Brazil,3.0,,,0.0,MANGELS INDUSTIA E COMERCIO LTDA,"S. BERNANDO DO CAMPO, SP",Operating,-23.694565,-46.572821999999995,PlantFacts,Approximate,,,,,,,,,,,,,No idea which facility in the area this one refers to
CAN,CAN0028,Canada,2.0,,150.0,0.0,CANAD. ST. FOUNDRIES,"MONTREAL, QC",Operating,45.5016889,-73.567256,PlantFacts,Approximate,,,,,,,,,,,,,
CHL,CHL0003,Chile,5.0,,360.0,0.0,GERDAU SA,"COLINA, SANTIAGO",Operating,-33.2045451,-70.67596540000001,PlantFacts,Approximate,,,,,,,,,,,,,
CHL,CHL0004,Chile,1.0,,,0.0,CIA. SID.HUACHIPATO SA,"MAIPU, SANTIAGO",Operating,-33.5105866,-70.7572607,PlantFacts,Approximate,,,,,,,,,,,,,
COL,COL0008,Colombia,2.0,,280.0,0.0,SIDERURGICA NATIONAL SA,"SOGAMOSO, BOYACA",Operating,5.748106,-72.911435,PlantFacts,Approximate,,,,,,,,,,,,,
COL,COL0010,Colombia,2.0,,,0.0,SID. DEL PACIFICO SA ,CALI,Operating,3.4516467000000004,-76.53198540000001,PlantFacts,Approximate,,,,,,,,,,,,,
CRI,CRI0001,Costa Rica,1.0,,,0.0,METALCO,COSTA RICA,Operating,9.9280694,-84.09072459999999,PlantFacts,Approximate,,,,,,,,,,,,,
CRI,CRI0002,Costa Rica,1.0,,,0.0,GALVATICA,COSTA RICA,Operating,9.748917,-83.753428,PlantFacts,Approximate,,,,,,,,,,,,,
CRI,CRI0003,Costa Rica,1.0,,,0.0,ARCELORMITTAL GUAPILES,GUAPILES,Operating,10.2136788,-83.78908940000001,PlantFacts,Approximate,,,,,,,,,,,,,
CIV,CIV0001,Côte d'Ivoire,1.0,,,0.0,TOLES IVOIRE SA,"ABIDJAN, COTE D IVOIRE",Operating,5.3599517,-4.008256299999999,PlantFacts,Approximate,,,,,,,,,,,,,
CZE,CZE0014,Czech Republic,6.0,,,0.0,WAYMAN-GORDON S.R.O.,KLADNO,Operating,50.141698600000005,14.1067465,PlantFacts,Approximate,,,,,,,,,,,,,
DOM,DOM0002,Dominican Republic,2.0,,,0.0,GERDAU METALDOM,SANTO DOMINGO,Operating,18.4860575,-69.9312117,PlantFacts,Approximate,,,,,,,,,,,,,
ECU,ECU0001,Ecuador,1.0,,,0.0,ACERIA DEL ECUADOR,"ALOAG, SANTO DOMINGO",Operating,-0.2073036,-79.18157240000001,PlantFacts,Approximate,,,,,,,,,,,,,
EGY,EGY0003,Egypt,3.0,,450.0,0.0,TAYBAH STEEL,"AL MANSOURA, DAKAHLIA",Operating,31.041532,31.377861,PlantFacts,Approximate,,,,,,,,,,,,,
EGY,EGY0015,Egypt,2.0,,,0.0,HELWAN COKE,HELWAN,Operating,29.7748103,31.311333500000003,PlantFacts,Approximate,,,,,,,,,,,,,
EGY,EGY0017,Egypt,1.0,,,0.0,THE EGYPTIAN FOUND.,KALIOBIA,Operating,30.3292368,31.2168466,PlantFacts,Approximate,,,,,,,,,,,,,
EGY,EGY0018,Egypt,7.0,,150.0,0.0,ABU ZAABAL,"HELIOPOLIS W., CAIRO",Operating,30.0909837,31.322709000000003,PlantFacts,Approximate,,,,,,,,,,,,,
