iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership,rank,pop2020,GrowthRate
ARM,ARM0001,Armenia,3.0,,200.0,0.0,ASCE GROUP OJSC,CHARENTSAVAN,Operating,40.413734000000005,44.639174,PlantFacts,Exact,,,,,,,,,,,,,,,2963.243,0.0019
AZE,AZE0001,Azerbaijan,7.0,,700.0,0.0,BAKU STEEL,BAKU PLANT,Operating,40.430741999999995,49.886409,PlantFacts,Exact,,,,,,,,,,,,,,,10139.177,0.0091
BHR,BHR0001,Bahrain,5.0,,2350.0,1.0,UNITED STEEL CO (SULB),HIDD INDUSTRIAL AREA,Operating,26.195868,50.678224,PlantFacts,Exact,5000674578,Sulb Company BSCC,,,http://www.sulb.com.bh/#!/contactus,2020-07-30,5000674578.0,Sulb Company BSCC,,,,,,,1701.575,0.0368
BHR,BHR0002,Bahrain,1.0,,,0.0,UNIVERSAL ROLLING (UNIROL),HIDD INDUSTRIAL AREA,Operating,26.209857,50.669087,PlantFacts,Exact,,,,,,,,,,,,,,,1701.575,0.0368
BHR,BHR0003,Bahrain,3.0,,,0.0,UNITED STAINLESS STEEL CO,HIDD INDUSTRIAL AREA,Operating,26.20225,50.678546999999995,PlantFacts,Exact,,,,,,,,,,,,,,,1701.575,0.0368
BHR,BHR0004,Bahrain,2.0,,11000.0,1.0,BAHRAIN STEEL,HIDD INDUSTRIAL AREA,Operating,26.196895,50.681574,PlantFacts,Exact,,,,,,,,,,,,,,,1701.575,0.0368
BGD,BGD0001,Bangladesh,2.0,,,0.0,KYCR COIL INDUSTRIES LTD,CHITTAGONG,Operating,22.499834,91.715778,PlantFacts,Exact,,,,,,,,,,,,,,,164689.383,0.0101
BGD,BGD0002,Bangladesh,2.0,,,0.0,BSRM STEELS,CHITTAGONG,Operating,22.38106,91.76862,PlantFacts,Exact,,,,,,,,,,,,,,,164689.383,0.0101
BGD,BGD0004,Bangladesh,10.0,,1450.0,1.0,ABUL KHAIR STEEL,CHITTAGONG,Operating,22.472008,91.734827,PlantFacts,Exact,,,,,,,,,,,,,,,164689.383,0.0101
GEO,GEO0001,Georgia,4.0,,200.0,0.0,GEOSTEEL LLC,RUSTAVI,Operating,41.542068,45.031238,PlantFacts,Exact,,,,,,,,,,,,,,,3989.167,-0.0019
GEO,GEO0002,Georgia,8.0,,25.0,0.0,RUSTAVI I&ST WORKS,RUSTAVI,Operating,41.531734,45.026241999999996,PlantFacts,Exact,,,,,,,,,,,,,,,3989.167,-0.0019
IND,IND0002,India,5.0,,,0.0,POSCO-MAHARASHTRA,"RAIGARH, MAHARASHTRA",Operating,18.388225,73.345484,PlantFacts,Exact,5000074747,POSCO Maharashtra Steel Pvt Ltd,,,http://www.posco.com/homepage/docs/eng6/jsp/company/family/foreign_02_02.jsp,2020-04-08,4295881204.0,POSCO,,,,,,,1380004.385,0.0099
IND,IND0003,India,6.0,,240.0,0.0,KALYANI CARPENTER SP,"MUNDHWA, PUNE",Operating,18.524061,73.91335699999999,PlantFacts,Exact,,,,,,,,,,,,,,,1380004.385,0.0099
IND,IND0004,India,2.0,,1500.0,1.0,WELSPUN MAXSTEEL LTD,"SALAV RAIGAD, MAHARASHTRA",Operating,18.530853,72.947091,PlantFacts,Exact,,,,,,,,,,,,,,,1380004.385,0.0099
