iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership
DZA,DZA0001,Algeria,22.0,2.0,7050.0,1.0,ARCELORMITTAL ALGERIA,"EL HADJAR, ANNABA",Operating,36.792072,7.701535000000001,PlantFacts,Exact,,,,,,,,,,,,,
DZA,DZA0002,Algeria,10.0,,5100.0,1.0,ALGERIAN QATARI STEEL,"BELLARA, JIJEL",Operating,36.747137,6.250612,PlantFacts,Exact,,Algerian Qatari Steel Company,,,https://aqs.dz/about/,2020-07-22,5000010731.0,Qatar Steel Company QPSC,,,,,
DZA,DZA0003,Algeria,2.0,,6500.0,1.0,TOSYALI ALGERIA,BETHIOUA,Operating,35.7702333,-0.2646662,PlantFacts,Exact,5074196906,Tosyali Ironsteel Industry Algerie SPA,,,https://www.tosyaliholding.com.tr/en/our-scope-of-activity/group-companies/international-subsidiaries/tosyali-iron-steel-industry-algerie,2020-07-22,5000866267.0,Tosyali Holding AS,,,,,
AGO,AGO0001,Angola,5.0,,,0.0,ACERIA DE ANGOLA SA,"BARRA DO DANDE, BENGO PROV.",Operating,-8.5824,13.405270999999999,PlantFacts,Exact,,,,,,,,,,,,,
ARG,ARG0001,Argentina,12.0,1.0,360.0,0.0,ACEROS ZAPLA SA,"PALPALA, JUJUY",Operating,-24.244239999999998,-65.19809599999999,PlantFacts,Exact,,,,,,,,,,,,,
ARG,ARG0002,Argentina,,,,0.0,,,Operating,-32.926684,-60.714138,https://www.ternium.com/en/contact-us#our-offices,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
ARG,ARG0003,Argentina,1.0,,,0.0,LAMINADOS INDUSTRIALES (BELTRAME),"VILLA CONSTITUCION, SANTA FE",Operating,-33.26958,-60.282830000000004,PlantFacts,Exact,,,,,,,,,,,,,
ARG,ARG0004,Argentina,11.0,,2600.0,1.0,ARCELORMITTAL ACINDAR SA,"VILLA CONSTITUCION, SANTA FE",Operating,-33.25696,-60.286649,PlantFacts,Exact,4295856032,Acindar Industria Argentina de Aceros SA,,,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,2020-04-08,5000030092.0,Arcelormittal SA,,,,,
ARG,ARG0005,Argentina,1.0,,,0.0,ARCELORMITTAL ACINDAR SA,"SAN NICOLAS, BA",Operating,-33.346459,-60.257842000000004,PlantFacts,Exact,4295856032,Acindar Industria Argentina de Aceros SA,,,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,2020-04-08,5000030092.0,Arcelormittal SA,,,,,
ARG,ARG0006,Argentina,18.0,2.0,8630.0,1.0,TERNIUM SIDERAR,"RAMALLO-SAN NICOLAS, BA",Operating,-33.36772,-60.149568,PlantFacts,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
ARG,ARG0007,Argentina,1.0,,,0.0,TERNIUM SIDERAR,"HAEDO, BA",Operating,-34.638826,-58.611764,PlantFacts,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
