uid_v3,uid_v4.1,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
AGO0001,AGO0002,-12.342644,13.581766,0.35,3,Grinding,Wet,36269.853554592686,35561.15930352431,38132.385993867945,92.4435714949596,0.0,277.3307144848788
ALB0003,ALB0001,41.549091,19.725338,1.4,3,Integrated,Dry,424918.9035751378,405673.43981519784,491371.7927341473,313.07717057728235,298.99656814329177,348.91948876539453
ARE0003,ARE0008,25.552944,56.226827,3.2,3,Integrated,Dry,1083715.4298764765,1127528.6171466722,1131933.1125485422,650.9263895912101,600.5545685628376,756.1563925137783
ARG0001,ARG0003,-36.982432,-60.243942,2.4,3,Integrated,Dry,699048.3008280712,512173.35510081553,1302721.340906628,373.21719819802934,385.77742621975824,394.5313262842884
ARG0002,ARG0020,-32.862443,-66.850896,0.35,3,Integrated,Dry,603686.3920272174,558810.0336073064,724138.7451533013,353.0033625033598,346.9054648959259,443.6647938294663
BEL0002,BEL0010,51.163852,3.766917,1.0,3,Grinding,Wet,248518.01040966355,62375.60765117538,626230.7561801785,0.0,0.0,0.0
BEL0005,BEL0001,50.576126,3.442482,0.9,3,Integrated,Dry,176803.50703521993,222985.0640287347,231207.83855421492,254.44735712455198,269.271687972294,269.33392230042176
BEL0006,BEL0003,50.765227,5.673726,1.5,3,Integrated,Dry,329508.0654380075,394547.70625812496,545591.5935343495,449.3494875122792,438.1197150967038,483.58756163822756
BEL0007,BEL0007,51.152206,3.786993,1.5,3,Grinding,Wet,117436.87901454752,91337.42524917543,173029.32682004003,0.0,0.0,0.0
BOL0001,BOL0009,-21.247315,-65.20765,0.33799999999999997,3,Integrated,Dry,47586.65378294655,61345.71787057268,69047.54970032249,330.7539563298273,264.6828226106267,532.1989830900563
BOL0002,BOL0011,-17.93615,-67.077067,0.166,3,Integrated,Dry,69453.77701046587,35790.54749630114,156021.4431656004,223.59066173764256,192.3528808304735,290.4265420570585
BOL0003,BOL0008,-17.568654,-63.150661,0.20199999999999999,3,Grinding,Wet,178337.98479441958,174232.85499919587,254868.2994776416,0.0,0.0,0.0
BOL0004,BOL0007,-16.647194,-68.316934,2.0,3,Integrated,Dry,326621.8787608781,205536.8740125301,591156.2294406884,392.8447533332273,468.1101238353838,480.48774778509954
BOL0005,BOL0010,-18.951114,-58.278028,0.95,3,Integrated,Dry,404642.94033970597,417737.30726371007,542556.5497339247,143.86481526970678,98.64140194103061,332.95304386808976
BRA0001,BRA0002,-19.513164,-44.276622,,3,Integrated,Dry,494911.53985088924,483677.7672604335,519441.6833098412,163.42231543347927,150.59775085347812,192.3116164163941
BRA0002,BRA0066,-7.477499,-34.844648,,3,Integrated,Dry,281284.53129052714,268524.5904475534,373652.3258439616,276.1806778643904,265.83084528948876,356.5181950202152
BRA0036,BRA0108,-20.729127,-41.1287,0.19,3,Grinding,Wet,41124.321342816,38996.320829365,54113.60367422175,10.239847681901475,0.0,30.719543045704427
BRA0037,BRA0069,-26.81867,-49.156976,0.4,3,Grinding,Dry,38685.22855109215,37990.688998429105,43051.63343463218,80.25338396800622,0.0,240.76015190401867
BRA0038,BRA0068,-24.669459,-48.979959,1.8,3,Integrated,Dry,137598.05641202285,104393.51741424444,205051.5950733103,246.27355194368107,229.39587455128094,313.25991120435543
BRN0001,BRN0001,5.012333,115.064836,0.5,3,Grinding,Wet,74143.40111033038,96092.74054590233,99170.76245010433,0.0,0.0,0.0
CAN0014,CAN0009,51.060709,-115.171522,2.2,3,Integrated,Dry,223205.65564494452,187076.77971501366,298569.81853506534,602.4587230719101,727.1861899852506,742.7792299402545
CHN0001,CHN0024,21.331892,110.303199,3.2,3,Grinding,Wet,206514.3972661682,212130.65072733883,233830.11379244234,0.0,0.0,0.0
CHN0002,CHN1107,21.690076,110.837207,1.5,3,Grinding,Wet,130989.0230690138,132232.6429494671,136577.28301094822,0.0,0.0,0.0
CHN0003,CHN0026,22.215127,113.099766,3.2,2,Grinding,Wet,176870.35296787287,176870.35296787287,180757.0835020675,0.0,0.0,0.0
CHN0006,CHN0044,22.709022,109.805221,3.6,3,Integrated,Dry,349253.86894648906,356884.5702308231,377421.6408159883,444.76855520125764,557.216055930365,627.4717420941356
CHN0007,CHN0047,22.766407,110.420957,3.6,3,Integrated,Dry,355470.1231731884,271322.9722017664,526686.045453666,429.86737633611114,368.4152569685431,605.0289858115889
CHN0009,CHN1100,23.126318,107.657118,4.2,2,Integrated,Dry,265325.92381233897,265325.92381233897,286895.1354830783,234.76624321721306,234.76624321721306,276.8059142604061
CHN0013,CHN0941,24.206132,106.602861,2.3,3,Integrated,Dry,192921.9470606622,149806.83852390258,369133.3656798468,244.99941439427,322.8716766758848,412.12656650692514
CHN0014,CHN0053,24.268659,113.415031,6.4,3,Integrated,Dry,504144.7749160133,303838.46394856786,1016705.7170003168,1613.2710567161128,1603.035990704148,1953.7982657924206
CHN0021,CHN0927,25.45623,114.889669,2.92,3,Integrated,Dry,253021.63580414077,153333.78212070576,454701.4671273766,928.1669564171336,697.5805435131895,1463.2883388706825
CHN0022,CHN0058,25.636225,110.658047,7.9,3,Integrated,Dry,326992.1572593317,327353.9141816639,352193.91594724613,664.0796001044481,679.697610234772,726.8468831309765
CHN0033,CHN1087,27.673947,111.866676,2.2,3,Integrated,Dry,504554.67134279275,501432.352019548,529150.6896854738,266.7886568070635,267.2920768176312,296.7070659110464
CHN0035,CHN0056,27.834027,111.172324,4.4,3,Integrated,Dry,464747.32627258677,588880.7772540263,669074.8660863513,681.2389498614958,747.7948465048589,912.794925461469
CHN0036,CHN0043,27.859691,114.747611,2.8,3,Integrated,Dry,496434.8150396895,564898.2075001219,665733.9513014702,249.93256727767906,281.7426689015209,468.0550329315163
CHN0037,CHN1231,28.161762,121.095623,2.0,2,Grinding,Wet,127564.16089763897,127564.16089763897,129156.38169650995,0.0,0.0,0.0
CHN0038,CHN1011,28.216826,111.660772,2.2,3,Integrated,Dry,361081.87158051063,373753.0446608252,467838.0692171169,297.7952414236833,422.65398884875594,470.7317354222939
CHN0039,CHN1069,28.301628,116.445885,2.2,3,Grinding,Wet,99380.71326356057,96925.66450460828,115379.02612781609,0.0,0.0,0.0
CHN0040,CHN0003,28.492576,115.951121,1.5,3,Grinding,Wet,153155.6699299474,134913.7993526244,270091.54822699266,242.08092749756182,0.0,726.2427824926855
CHN0043,CHN0027,28.833796,115.958428,4.0,3,Grinding,Wet,143844.6450537741,137425.46803356506,180520.4358562181,0.0,0.0,0.0
CHN0044,CHN0045,29.33424,119.050244,3.6,3,Integrated,Dry,367634.73241684615,379630.79739528487,414961.8320799399,679.4302083147098,641.8592159540275,771.983355058154
CHN0045,CHN0021,29.48981,121.504058,4.4,3,Grinding,Wet,98620.71430306818,105908.28728963289,121147.31305764377,0.0,0.0,0.0
CHN0046,CHN0031,29.50057,121.652595,4.4,3,Grinding,Wet,135870.522839521,151459.32901202107,152959.0278300757,0.0,0.0,0.0
