uid,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
AFG0001,35.96580023,68.68633787,,3,Integrated,Wet,59694.29609551051,60032.03190270011,60465.40025171927,1097.3310254413898,1182.3551525844186,1423.136913749169
AGO0001,-12.537825,13.496729,,3,Grinding,Wet,255977.6719349093,285921.17259280535,312462.42386117805,0.0,0.0,0.0
AGO0002,-12.342644,13.581766,0.35,3,Grinding,Wet,34878.82987422968,34656.19920451218,36134.05455262516,76.00748473384878,0.0,228.02245420154634
AGO0003,-11.185243,14.030804,,3,Integrated,Dry,533124.2933315756,432354.45140303124,752180.2423166042,304.2268387288702,321.2718893555057,344.32982211102876
AGO0004,-9.101295,13.567408,,3,Integrated,Dry,930376.7646628704,1017445.2608060474,1105694.5060334655,694.2029676115736,681.8407785726192,821.3927866992964
AGO0005,-8.766173,13.316051,,3,Integrated,Wet,221160.25343681898,227267.52847125154,244698.35083064227,804.969764455106,949.320091345469,1465.589202019849
AGO0007,-8.796392,13.42678,,3,Integrated,Dry,284547.1123641986,292292.7907703829,294509.97339792666,404.80492368090387,376.54540393853426,503.0568992733628
ALB0001,41.549091,19.725338,1.4,3,Integrated,Dry,226133.39516219814,198153.6226535261,295875.99705039605,280.0132794987861,243.95233107464634,355.9935701142141
ALB0002,40.462357,19.501868,,3,Grinding,Wet,46700.36466340943,56687.692766993634,60250.52259549628,0.0,0.0,0.0
ALB0003,41.120103,20.045136,,3,Integrated,Wet,123423.2116922803,112771.84763379693,159451.50077287783,561.1688593681265,394.5763127322921,1024.7552542045783
ALB0004,41.503079,19.743606,,3,Integrated,Dry,179336.3785807352,177685.65743705578,188345.50175076816,271.6858527249651,295.21207547381397,329.84954378557967
ALB0005,41.83677,19.63345,,3,Grinding,Wet,46544.462338805046,46382.3375740983,46940.30508660581,0.0,0.0,0.0
ARE0001,24.003398,55.438602,3.6,3,Integrated,Dry,1324941.537990228,536292.9029239146,3151150.017099092,574.2924792300299,546.5852619488512,666.914052405024
ARE0002,25.002524,55.133951,,3,Grinding,Wet,58928.62972110436,59240.9017542456,61628.562798768966,0.0,0.0,0.0
ARE0003,24.998572,55.134171,,3,Grinding,Wet,82133.56636831998,109100.81252128941,114065.3690611123,0.0,0.0,0.0
ARE0004,24.137441,55.733956,,3,Integrated,Dry,206397.3645668964,182237.81548450267,316555.43652855686,208.34626275914033,212.93216873540467,233.02223000055622
