tile_id,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
MGRS-43SED-0067-2020-01,3,Integrated,Dry,357751.98712786264,402881.45301263605,412888.1714079518,552.9432222354732,507.1599465826021,680.312082286366
MGRS-43SED-0138-2020-01,3,Integrated,Dry,222490.73831467386,304748.7173465438,321521.14982700744,195.3624964474621,216.46280927982664,219.8534817652599
MGRS-43SED-0191-2020-03,3,Integrated,Dry,449422.37187147344,433954.6199882246,499705.93050812185,238.48706449687086,231.62076587845254,304.29347462577033
MGRS-43SFC-0029-2020-01,3,Integrated,Dry,380902.4065219801,380033.86482923,396630.1823615758,375.9030436093848,369.812069914425,581.6614271846316
MGRS-43SGB-0043-2020-01,3,Integrated,Dry,385362.9282896062,385862.79152533563,461855.0387729763,264.0289443481322,262.40765753010464,346.8441347669105
MGRS-44SLG-0219-2020-05,3,Integrated,Dry,333722.10745177337,333966.0506179333,351879.49894766015,209.17714856497898,290.6855082112459,336.845937483691
MGRS-44SMG-0003-2020-01,3,Integrated,Dry,522888.9328126737,525753.9315300076,566442.8451083364,408.6024886942998,369.72432176336457,505.9390487734251
MGRS-44SNF-0035-2020-10,3,Integrated,Dry,547501.7618327361,551703.5807165304,609860.7200707631,191.48212094701105,195.2467184228718,201.41723172610534
MGRS-44TML-0236-2020-02,3,Integrated,Dry,423793.173019046,431576.4342397528,445413.0129173865,291.98131842585815,298.28623104859463,312.1770968078715
MGRS-44TML-0237-2020-02,2,Integrated,Dry,753149.4399642777,753149.4399642777,924330.2438737501,590.2004737898383,590.2004737898383,642.0337558540606
MGRS-44TMP-0053-2020-01-1,3,Integrated,Dry,115930.02446326193,89107.0738210513,171054.25773338147,175.37742699909774,166.65330324704934,195.5616562337947
MGRS-44TMP-0053-2020-01-2,3,Integrated,Dry,169872.12591452405,178466.60289562354,187049.37114239662,278.50576108724806,280.3057418195989,293.48335794900004
MGRS-44TMP-0053-2020-01-3,1,Grinding,Wet,208966.53849560773,208966.53849560773,208966.53849560773,0.0,0.0,0.0
MGRS-44TMQ-0120-2020-01,1,Grinding,Wet,41402.3985761802,41402.3985761802,41402.3985761802,0.0,0.0,0.0
MGRS-44TNP-0004-2020-12,3,Integrated,Dry,152214.38977200387,111207.29483504746,309454.34177883796,231.368050207382,226.29741380746145,309.78027753442893
MGRS-44TNP-0028-2020-12,3,Integrated,Dry,458250.96177914535,456778.0593707599,465056.86461361765,348.17236860424447,341.25708479605805,394.7467870637117
MGRS-44TNP-0154-2020-12,3,Integrated,Dry,209553.11383866242,214619.72062292526,246923.87446530987,208.95160337829154,198.91579320116097,252.49914911629483
