file,class,subset
CHN1627_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4239_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3137_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN0924_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0103_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0405_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2963_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN4030_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2747_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0596_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4766_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2340_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN3407_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4005_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0748_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1277_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN4311_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1765_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0036_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4048_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4852_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0630_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0830_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3352_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2349_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN3500_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1342_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3117_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2469_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2795_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4334_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0193_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0711_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1443_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0841_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2563_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1764_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2535_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN4450_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2233_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN4789_landcover_v4p1_2018_L8_TIR.png,landcover,validate
