file,class,subset
CHN2945_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1892_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4727_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2783_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3755_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4484_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3917_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN4646_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1577_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3359_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1739_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN3197_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2468_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0686_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0929_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2387_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN1658_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4169_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2549_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3278_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1496_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0488_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1298_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3791_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3953_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN1937_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2666_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3719_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4448_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2110_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3557_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2828_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4286_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1775_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1300_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2747_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3476_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN1694_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2585_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN4745_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN2963_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN3692_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1991_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3773_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0310_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2486_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4268_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN3377_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2648_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0866_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1120_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN1838_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2011_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4187_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN1676_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN1397_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3179_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2288_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0749_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1478_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3971_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN3098_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN3575_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN4628_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3737_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2684_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1874_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0983_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3818_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3494_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4655_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2873_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4574_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2792_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2954_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN0938_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3287_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2558_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0776_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0301_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1748_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3368_landcover_v4p1_2018_L8_TIR.png,landcover,validate
CHN1586_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN4853_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3089_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN1469_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN2198_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN3962_landcover_v4p1_2018_L8_TIR.png,landcover,train
CHN0103_landcover_v4p1_2018_L8_TIR.png,landcover,train
