file,class,subset
CHN0556_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1184_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN4818_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3832_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0661_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4308_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2657_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2248_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2948_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2298_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN2119_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1137_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN4200_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0894_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4275_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3775_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1013_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN3592_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0498_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2951_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1176_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN2009_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0365_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN0635_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1386_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3390_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1711_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4113_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1906_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1943_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1970_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2042_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3536_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3485_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4832_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0468_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN1344_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4620_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3680_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN0115_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4143_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4594_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN3394_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN4583_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2340_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1861_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3808_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2482_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2824_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1908_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN3353_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN0069_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3857_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0380_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1964_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3355_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2430_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1911_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN1217_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN2307_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1948_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3132_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4105_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3780_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0587_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3716_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0376_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN3036_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN0325_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN1953_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN4795_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3867_landcover_v4p1_202006_S2_RGB.png,landcover,train
CHN3798_landcover_v4p1_202006_S2_RGB.png,landcover,validate
CHN0589_landcover_v4p1_202006_S2_RGB.png,landcover,train
