file,class,subset
MGRS-44SMF_CHN4431-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMF_CHN1512-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMF_CHN7350-LC_landcover_v4p1_2020_S2_RGB.png,landcover,validate
MGRS-44SMF_CHN3458-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMF_CHN0539-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMF_CHN6377-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMF_CHN5404-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMG_CHN2485-LC_landcover_v4p1_2020_S2_RGB.png,landcover,validate
MGRS-44SMG_CHN3458-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMG_CHN7350-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMG_CHN0539-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMG_CHN4431-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMG_CHN5404-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SMG_CHN1512-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SNF_CHN1787-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SNF_CHN7625-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SNF_CHN2760-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SNF_CHN3733-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SNF_CHN4706-LC_landcover_v4p1_2020_S2_RGB.png,landcover,validate
MGRS-44SNF_CHN6652-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SNF_CHN0814-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44SNF_CHN5679-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TMP_CHN4691-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TMP_CHN3718-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TMP_CHN2745-LC_landcover_v4p1_2020_S2_RGB.png,landcover,validate
MGRS-44TMP_CHN6637-LC_landcover_v4p1_2020_S2_RGB.png,landcover,validate
MGRS-44TMP_CHN5664-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNP_CHN5664-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNP_CHN2745-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNP_CHN7610-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNP_CHN4691-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNP_CHN1772-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNP_CHN6637-LC_landcover_v4p1_2020_S2_RGB.png,landcover,validate
MGRS-44TNP_CHN0799-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNP_CHN3718-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNQ_CHN2407-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNQ_CHN6299-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNQ_CHN3380-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNQ_CHN0461-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNQ_CHN7272-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
MGRS-44TNQ_CHN1434-LC_landcover_v4p1_2020_S2_RGB.png,landcover,train
