scene_id,tile_cnt_tot,tile_cnt_2020,tile_cnt_2019,tile_cnt_2018
WRS2-113026,1178,0,0,39
WRS2-113027,4729,0,0,1853
WRS2-113028,3433,0,0,1801
WRS2-113029,232,0,0,232
WRS2-114026,2592,2553,0,0
WRS2-114027,10538,10223,85,0
WRS2-114028,9984,9403,134,0
WRS2-114029,3761,3234,186,0
WRS2-114030,4807,3347,743,213
WRS2-114031,309,298,1,1
WRS2-115026,633,479,22,17
WRS2-115027,11151,0,544,3096
WRS2-115028,13989,0,7374,397
WRS2-115029,13512,0,4949,761
WRS2-115030,13032,9520,1113,924
WRS2-115031,3837,3357,162,104
WRS2-116026,2850,0,2379,140
WRS2-116027,11468,3619,1577,1876
WRS2-116028,11617,3407,5350,1288
WRS2-116029,15552,5532,4166,1709
WRS2-116030,13864,1157,1751,1031
WRS2-116031,9642,446,313,487
WRS2-117025,101,0,0,0
WRS2-117026,4848,658,0,79
WRS2-117027,9194,1976,0,166
WRS2-117028,15415,6003,0,0
WRS2-117029,18648,3096,0,24
WRS2-117030,17523,4963,0,41
WRS2-117031,16177,37,0,6229
WRS2-117032,2254,82,0,1310
WRS2-117039,221,95,0,0
WRS2-117040,524,217,0,0
WRS2-118025,3620,886,2611,17
WRS2-118026,8379,2254,4544,103
WRS2-118027,10440,7116,2103,502
WRS2-118028,13700,0,0,0
WRS2-118029,17432,838,77,6120
WRS2-118030,18843,5731,678,9813
WRS2-118031,17390,11688,280,3096
WRS2-118032,13698,10126,151,580
WRS2-118033,713,606,1,29
WRS2-118034,174,76,9,29
WRS2-118035,39,13,0,2
WRS2-118038,10361,9508,149,276
WRS2-118039,14094,12401,72,520
WRS2-118040,17737,15813,396,954
WRS2-118041,9140,6971,409,570
WRS2-118042,2860,1911,15,164
WRS2-118043,67,15,1,19
WRS2-119024,2030,1032,465,193
WRS2-119025,9527,0,3776,0
WRS2-119026,12942,0,4908,4370
WRS2-119027,10207,7861,0,0
WRS2-119028,10719,0,7985,1151
WRS2-119029,10683,1160,8059,892
WRS2-119030,14684,6225,7824,308
WRS2-119031,21618,18903,1692,1
WRS2-119032,18088,10073,6450,920
WRS2-119033,6707,2746,2984,233
WRS2-119034,7585,2337,1263,909
WRS2-119035,1575,702,245,280
WRS2-119036,472,0,0,308
WRS2-119037,9591,4072,2749,0
WRS2-119038,24846,12251,4259,12
WRS2-119039,23516,2360,1243,669
WRS2-119040,24316,0,0,0
WRS2-119041,18425,0,935,1952
WRS2-119042,17591,0,4247,2656
WRS2-119043,10830,0,7773,1939
WRS2-119044,396,0,287,46
WRS2-120023,1989,12,0,1342
WRS2-120024,8136,17,29,5375
