bin_left_edge,cmt_prb_hist,cmt_knwn_prb_hist,stl_prb_hist,stl_knwn_prb_hist
0.0,0,0,0,0
0.01,0,0,0,0
0.02,3,0,6,0
0.03,228,0,2921,0
0.04,2105,0,109424,0
0.05,8034,1,383919,0
0.06,19055,0,540327,1
0.07,32558,3,492025,0
0.08,46805,1,345240,0
0.09,58238,1,221512,2
0.1,68294,2,148197,0
0.11,74908,4,103450,2
0.12,81142,3,75160,2
0.13,84735,2,57183,1
0.14,87053,5,44748,1
0.15,88477,3,36841,0
0.16,88791,8,31345,0
0.17,89400,6,27766,1
0.18,89219,4,25346,0
0.19,88024,12,23657,1
0.2,87099,6,21755,1
0.21,85964,10,20538,0
0.22,84226,9,19427,0
0.23,82461,13,18459,1
0.24,81002,12,17402,0
0.25,79644,10,16662,0
0.26,77599,8,15854,0
0.27,75783,13,15458,1
0.28,74768,10,14590,0
0.29,72274,8,13958,1
0.3,70897,6,13751,1
0.31,68856,12,13295,1
0.32,67750,13,12640,0
0.33,65896,9,12338,0
0.34,63847,13,11803,0
0.35000000000000003,61926,14,11523,0
0.36,60224,14,11231,0
0.37,58146,12,10936,0
0.38,55765,18,10612,0
0.39,53126,9,10416,0
0.4,50005,10,10310,1
0.41000000000000003,47185,6,10198,3
0.42,44539,21,9905,0
0.43,41769,10,9630,0
0.44,38806,9,9346,0
0.45,35789,9,9359,1
0.46,32650,11,9160,2
0.47000000000000003,29691,5,9158,0
0.48,27018,12,8991,0
0.49,24937,5,8734,0
0.5,22888,12,8730,0
0.51,21340,6,8642,2
0.52,20357,6,8396,1
0.53,19226,7,8403,0
0.54,18415,3,8238,2
0.55,17669,5,8094,0
0.56,17115,7,8008,2
0.5700000000000001,16493,3,7769,1
0.58,16130,3,7724,1
0.59,15703,4,7620,2
0.6,15020,6,7577,2
0.61,14898,4,7464,0
0.62,14478,5,7301,0
0.63,14054,4,7216,3
0.64,13924,14,7165,2
0.65,13293,6,7177,1
0.66,13072,3,6960,1
0.67,12882,3,6877,0
0.68,12331,4,6783,0
0.6900000000000001,12102,2,6476,0
0.7000000000000001,11709,2,6572,2
0.71,11522,2,6351,0
0.72,11059,2,6369,4
0.73,10716,8,6138,0
0.74,10541,9,6007,1
0.75,10013,7,6058,1
0.76,9921,6,5841,0
0.77,9546,5,5697,5
0.78,9248,12,5618,1
0.79,8935,4,5387,0
0.8,8549,5,5066,4
0.81,8122,7,5030,2
0.8200000000000001,7668,9,4881,4
0.8300000000000001,7277,8,4645,4
0.84,6949,5,4269,5
0.85,6656,8,4025,4
0.86,6269,4,3691,5
0.87,5816,6,3382,7
0.88,5277,4,3001,6
0.89,4916,7,2670,6
0.9,4359,14,2147,9
0.91,3796,4,1751,1
0.92,3250,11,1363,4
0.93,2638,14,961,2
0.9400000000000001,1956,12,594,7
0.9500000000000001,1284,9,287,1
0.96,671,4,104,0
0.97,245,7,17,0
0.98,40,1,1,0
0.99,0,0,0,0
