bin_left_edge,cmt_prb_hist,cmt_knwn_prb_hist,stl_prb_hist,stl_knwn_prb_hist
0.0,52,0,46062,1
0.01,2261,0,90896,1
0.02,9686,13,76073,0
0.03,18465,15,53346,2
0.04,24369,30,36193,1
0.05,26592,28,24877,3
0.06,26890,27,17614,2
0.07,25198,23,13008,1
0.08,23470,28,9629,1
0.09,21203,28,7433,3
0.1,19251,23,5773,0
0.11,17250,20,4599,3
0.12,15122,15,3514,0
0.13,13579,14,2982,2
0.14,12270,11,2460,4
0.15,11117,18,1995,1
0.16,10088,6,1572,3
0.17,8721,13,1295,4
0.18,8038,9,1032,1
0.19,7220,12,941,3
0.2,6623,12,815,0
0.21,6055,7,629,0
0.22,5390,9,571,1
0.23,4994,7,528,0
0.24,4661,10,434,1
0.25,4241,6,396,0
0.26,3811,4,319,0
0.27,3620,4,296,0
0.28,3340,7,247,2
0.29,3130,5,235,0
0.3,2884,4,231,0
0.31,2730,1,173,1
0.32,2622,4,178,1
0.33,2375,6,152,0
0.34,2398,7,134,1
0.35000000000000003,2218,2,140,0
0.36,1977,8,128,0
0.37,1899,4,116,1
0.38,1789,2,85,0
0.39,1656,1,103,1
0.4,1611,3,81,2
0.41000000000000003,1578,1,68,1
0.42,1513,6,61,1
0.43,1378,6,62,0
0.44,1306,9,56,0
0.45,1248,5,54,1
0.46,1204,4,61,0
0.47000000000000003,1142,4,61,1
0.48,1126,5,56,0
0.49,1003,4,40,0
0.5,1023,4,50,1
0.51,968,2,51,0
0.52,948,7,34,1
0.53,904,2,35,0
0.54,881,5,34,3
0.55,867,2,24,0
0.56,835,6,25,0
0.5700000000000001,790,6,23,2
0.58,748,1,23,1
0.59,731,2,25,0
0.6,783,2,24,1
0.61,694,4,20,0
0.62,711,3,26,0
0.63,667,5,24,2
0.64,658,2,16,1
0.65,622,4,22,0
0.66,645,5,17,0
0.67,639,6,18,0
0.68,655,6,12,1
0.6900000000000001,652,4,21,1
0.7000000000000001,599,4,17,0
0.71,583,2,16,0
0.72,620,5,18,0
0.73,563,1,7,1
0.74,579,6,7,0
0.75,548,3,7,1
0.76,475,4,11,0
0.77,452,4,9,2
0.78,436,4,12,2
0.79,433,4,12,1
0.8,385,1,11,3
0.81,337,1,9,0
0.8200000000000001,348,5,8,2
0.8300000000000001,294,5,10,2
0.84,326,4,7,0
0.85,298,3,3,0
0.86,302,7,12,5
0.87,266,4,5,1
0.88,253,7,10,3
0.89,284,5,5,2
0.9,256,8,7,1
0.91,240,3,6,4
0.92,228,6,8,1
0.93,253,5,6,2
0.9400000000000001,211,4,4,1
0.9500000000000001,204,6,2,2
0.96,197,5,6,3
0.97,200,12,4,6
0.98,224,4,2,0
0.99,393,0,3,2
