scene_id,tile_cnt_sg1,tile_cnt_sg2
MGRS-43SEA,0,0
MGRS-43SEB,239,0
MGRS-43SEC,92,0
MGRS-43SED,343,30
MGRS-43SFA,624,0
MGRS-43SFB,67,0
MGRS-43SFC,131,2
MGRS-43SFD,427,29
MGRS-43SFV,118,0
MGRS-43SGA,581,45
MGRS-43SGB,483,0
MGRS-43SGC,2,0
MGRS-43SGD,72,1
MGRS-43SGU,0,0
MGRS-43SGV,477,0
MGRS-43TEE,145,56
MGRS-43TFE,461,137
MGRS-43TFF,279,0
MGRS-43TGE,432,14
MGRS-43TGF,1,0
MGRS-43TGG,0,0
MGRS-44RKV,0,0
MGRS-44RLV,0,0
MGRS-44RMU,0,0
MGRS-44RMV,0,0
MGRS-44RNU,0,0
MGRS-44RNV,0,0
MGRS-44RPT,0,0
MGRS-44RPU,0,0
MGRS-44RPV,0,0
MGRS-44RQT,0,0
MGRS-44RQU,0,0
MGRS-44RQV,0,0
MGRS-44SKA,0,0
MGRS-44SKB,76,28
MGRS-44SKC,25,1
MGRS-44SKD,444,0
MGRS-44SKE,523,0
MGRS-44SKF,407,233
MGRS-44SKG,409,59
MGRS-44SKH,4,0
MGRS-44SKJ,368,4
MGRS-44SLA,0,0
MGRS-44SLB,360,77
MGRS-44SLC,391,2
MGRS-44SLD,442,0
MGRS-44SLE,11,0
MGRS-44SLF,517,24
MGRS-44SLG,0,0
MGRS-44SLJ,39,3
MGRS-44SMA,0,0
MGRS-44SMB,0,0
MGRS-44SMC,8,4
MGRS-44SMD,35,0
MGRS-44SME,0,0
MGRS-44SMF,333,8
MGRS-44SMG,39,15
MGRS-44SMH,86,5
MGRS-44SNA,235,6
MGRS-44SNB,0,0
MGRS-44SNC,0,0
MGRS-44SND,0,0
MGRS-44SNE,0,0
MGRS-44SNF,0,0
MGRS-44SNG,0,0
MGRS-44SNH,0,0
MGRS-44SPA,0,0
MGRS-44SPB,243,56
MGRS-44SPC,0,0
MGRS-44SPD,134,3
MGRS-44SPE,39,0
MGRS-44SPF,223,0
MGRS-44SPG,138,4
MGRS-44SQC,10,0
MGRS-44SQD,35,9
MGRS-44SQF,36,32
MGRS-44SQG,24,17
MGRS-44SQH,0,0
MGRS-44TKK,468,0
