,iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
1604,COL,COL0009,Colombia,Integrated,,Cementos de Oriente,"Sagamoso Bogotá, Boyacá",Operating,5.749404,-72.910142,GCD,Exact,,Cementos del Oriente SA,,,https://www.cementosdeloriente.com/,2020-06-22,,Cementos del Oriente SA,1.0Mt/yr (est),,,,,1.0,Mt/yr,,Tel: +57 8 772 6209,
1605,COL,COL0009,Colombia,Integrated,,Cementos de Oriente,"Sabana Grande Malambo, Atlantico",Operating,10.847449,-74.768926,GCD,Exact,,Cementos del Oriente SA,,,https://www.cementosdeloriente.com/,2020-06-22,,Cementos del Oriente SA,1.0Mt/yr (est),,,,,1.0,Mt/yr,,Tel: +57 5 376 4000,
1739,FRA,FRA0013,France,Grinding,Dunkerque Plant,Ecocem France,Dunkerque,Operating,51.050596,2.331325,GCD,Exact,5039593383.0,Ecocem France SAS,,,https://ecocem.fr/en/contact/,2020-02-16,5039593383.0,Ecocem France SAS,0.7Mt/yr - Loesche LM 46.2+2 CS GGBS & CEM III,,,,,0.7,Mt/yr,,,
1740,FRA,FRA0013,France,Grinding,Dunkerque Plant,Eqiom (CRH),Dunkerque,Operating,51.040836,2.318615,GCD,Exact,4297358317.0,Eqiom SAS,,,https://www.eqiom.com/a-propos/localisation/centre-de-broyage-de-dunkerque,2020-02-10,4295874867.0,CRH PLC,Loesche LM 46.2+2 S,,,,,,,Jerome Chermiset,Tel: +33 3 8255 7878,Fax: +33 3 8255 7876
1822,DEU,DEU0036,Germany,Integrated,,Portland-Zementwerke Seibel & Söhne GmbH & Co. KG (Dyckerhoff),Erwitte,Operating,51.599704,8.349549,GCD,Exact,5043951378.0,Dyckerhoff GmbH,,,https://www.dyckerhoff.com/werkstandorte-zement/erwitte,2020-02-07,4295875751.0,Buzzi Unicem SpA,0.6Mt/yr - Closing during 2019,,,,,0.6,Mt/yr,Wolfgang Wessel,Tel: +49 29 43 97 32 0,Fax: +49 29 43 97 32 29
1823,DEU,DEU0036,Germany,Integrated,Erwitte Plant,Thomas Zement GmbH & Co. KG,Erwitte,Operating,51.598293,8.335628,GCD,Exact,5066247807.0,thomas zement GmbH & Co KG,,,https://www.thomas-gruppe.de/zement/standortkarte/,2020-02-20,4296202433.0,thomas Beteiligungen GmbH,1 Dry - 0.55Mt/yr,1.0,DRY,,,0.55,Mt/yr,,Tel: +49 29 4397 570,Fax: +49 29 4397 5757
2164,IDN,IDN0007,Indonesia,Grinding,,Cemindo Gemilang,"Ciwandan, Banten",Operating,-6.022556,105.960336,GCD,Exact,,,,,,,,,"2 mills, total 0.75Mt/yr",,,,,0.75,Mt/yr,,,
2165,IDN,IDN0007,Indonesia,Grinding,"Ciwandan Plant, Banten",Holcim Indonesia (LafargeHolcim),,Operating,-6.020475,105.958559,GCD,Exact,,,,,,,,,0.7Mt/yr,,,,,0.7,Mt/yr,,,
2339,ITA,ITA0038,Italy,Integrated,Gubbio plant,Cementerie Barbetti SpA,"Gubbio, Perugia",Operating,43.363781,12.547341,GCD,Exact,4296166365.0,Cementerie Aldo Barbetti SpA,,,http://www.barbetti.it/,2020-03-20,4296166365.0,Cementerie Aldo Barbetti SpA,1 Dry - 1.5Mt/yr,1.0,DRY,,,1.5,Mt/yr,,Tel: +39 075 92 381,Fax: +39 075 923 82 71
2340,ITA,ITA0038,Italy,Integrated,Galatina Plant Roman Bondarenko: EuroCement plant at dusk,Colacem,"Galatina, Lecce",Operating,40.167204,18.200552,GCD,Exact,4296427455.0,Colacem SpA,,,https://www.colacem.com/it/en/how_to_reach_us,2020-02-05,4296427455.0,Colacem SpA,1 Dry - 1.1Mt/yr,1.0,DRY,,,1.1,Mt/yr,Giovanni Vincenti,Tel: +39 0836 566 767,Fax: +39 0836 569 051
