iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
ALB,ALB0003,Albania,Integrated,,Antea Cement (Titan),"Boka e Kuqe, Kruja",Operating,41.549091,19.725338,GCD,Exact,5036173163,Antea Cement ShA,1.4,,http://www.anteacement.com/_home/antea-cement/,2/13/2020,4295870366,Titan Cement Company SA,1.5Mt/yr,,,,,1.5,Mt/yr,George Batsakis,Tel: +355 4450 2427,Fax: +355 4450 2412
DZA,DZA0015,Algeria,Integrated,,CILAS (51% LafargeHolcim / 49% Souakri Group),"Biskra, 400km south of Algiers",Operating,35.096288,5.646743,GCD,Exact,5053127532,Lafarge Beton Algerie LBA,2.7,2016,https://www.lafarge.dz/1_2_2-ciments,2/9/2020,4295890620,LafargeHolcim Ltd,1 Dry - 2.7Mt/yr (Opened Oct. 2017).,1,DRY,,,2.7,Mt/yr,,Tel: +213 782 223092,
DZA,DZA0016,Algeria,Integrated,Oggaz Plant,Lafarge Ciment d’Oggaz (LafargeHolcim),Mascara,Operating,35.532649,-0.27516,GCD,Exact,4295890620,LafargeHolcim Ltd,3.7,2007,https://www.lafarge.dz/1_2_2-ciments,2/9/2020,4295890620,LafargeHolcim Ltd,1 Dry - 3.2Mt/yr 1 White - 0.6Mt/yr,1,DRY,,,3.2,Mt/yr,,Tel: 213 770 276366,Fax: 213 2392 4294
DZA,DZA0017,Algeria,Integrated,M’Sila Plant,Lafarge Cement of Msila (LafargeHolcim),"Debil, Hammam EL Dalla",Operating,35.877318,4.445901,GCD,Exact,4295890620,LafargeHolcim Ltd,5,2003,https://www.lafarge.dz/1_2_2-ciments,2/9/2020,4295890620,LafargeHolcim Ltd,5.2Mt/yr (Grey) 0.6Mt/yr (White),,,,,5.2,Mt/yr,Xavier Lenclud,,
AGO,AGO0001,Angola,Grinding,Lobito Plant,Companhia de Cimentos do Lobito (SECIL 51%),"Morro do Quileva, Lobito",Operating,-12.342644,13.581766,GCD,Exact,5035943898,Secil Angola SARL,0.35,,http://www.secil-group.com/a-secil/a-secil-no-mundo/?lang=en#secil_no_mundo_tunisia_en,3/20/2020,4295886745,Secil Companhia Geral de Cal e Cimento SA,0.3Mt/yr,,,,,0.3,Mt/yr,Augusto Manuel Pereira Miragaia,Tel:+244 27 222 2428,Fax:+244 27 222 3106
ARG,ARG0001,Argentina,Integrated,Olavarria Plant,Cementos Avellaneda,"Olavarria, Buenos Aires",Operating,-36.982432,-60.243942,GCD,Exact,4295856033,Cementos Avellaneda SA,2.4,1937,http://www.cavellaneda.com.ar/divisiones.php?sec=divisiones,2/7/2020,4295856033,Cementos Avellaneda SA,2 Dry - 3Mt/yr,2,Dry,,,3,Mt/yr,,+54 284 493 055/155/160,+54 284 493 058
ARG,ARG0002,Argentina,Integrated,San Luis Plant,Cementos Avellaneda,"La Calera, Pcia. de San Luis",Operating,-32.862443,-66.850896,GCD,Exact,4295856033,Cementos Avellaneda SA,0.35,1975,http://www.cavellaneda.com.ar/divisiones.php?sec=divisiones,2/7/2020,4295856033,Cementos Avellaneda SA,1 Dry – 0.4Mt/yr New Sinoma-built 0.7Mt/yr kiln - first clinker due February 2020,1,DRY,,,0.4,Mt/yr,Roque Amoroso,,
BEL,BEL0002,Belgium,Grinding,Ghent Plant I,Cemminerals NV,,Operating,51.163852,3.766917,GCD,Exact,5064637768,Cemminerals NV,1,,https://cemminerals.be/en/,3/17/2020,5064637768,Cemminerals NV,1.0Mt/yr,,,,,1,Mt/yr,,Tel: +32 9 355 70 39,
BEL,BEL0005,Belgium,Integrated,Antoing Plant,CBR Cement (HeidelbergCement),Antoing,Operating,50.576126,3.442482,GCD,Exact,4295859365,Cimenteries CBR SA,0.9,,https://www.cbr.be/nld/cbr-antoing,2/8/2020,4295868961,HeidelbergCement AG,1 Dry - 0.8Mt/yr,1,DRY,,,0.8,Mt/yr,Philippe Haegeman,Tel: +32 6944 6510,Fax: +32 6944 3722
BEL,BEL0006,Belgium,Integrated,Lixhe Plant,CBR Cement (HeidelbergCement),Lixhe,Operating,50.765227,5.673726,GCD,Exact,4295859365,Cimenteries CBR SA,1.5,1950,https://www.cbr.be/nld/cbr-lixhe,2/8/2020,4295868961,HeidelbergCement AG,1 Dry - 1.5Mt/yr,1,DRY,,,1.5,Mt/yr,Julien Wart,Tel: +32 4379 9315,Fax: +32 4379 9497
BEL,BEL0007,Belgium,Grinding,CBR Ghent Plant I,SA Cimenterie CBR Cementbedrijven (Cementir),9042 Sint-Kruis-Winkel,Operating,51.152206,3.786993,GCD,Exact,4295859365,Cimenteries CBR SA,1.5,,https://www.cbr.be/nld/cbr-gent-I,2/8/2020,4295868961,HeidelbergCement AG,1.5Mt/yr,,,,,1.5,Mt/yr,Geert Smolenaers,Tel: +32 9345 0961,Fax: +32 9345 9012
BOL,BOL0001,"Bolivia, Plurinational State of",Integrated,El Puente Plant,Sociedad Boliviana de Cemento (SOBOCE),Tarija,Operating,-21.247315,-65.20765,GCD,Exact,4296767075,Sociedad Boliviana de Cemento SA,0.338,,https://www.soboce.com/planta_elpuente.asp,2/13/2020,4296767075,Sociedad Boliviana de Cemento SA,1 Dry - 0.34Mt/yr,1,DRY,,,0.34,Mt/yr,Alberto Miranda,Tel: +591 4613 3695,Fax: +591 4613 3694
BOL,BOL0002,"Bolivia, Plurinational State of",Grinding,Emisa Plant,Sociedad Boliviana de Cemento (SOBOCE),Oruro,Operating,-17.93615,-67.077067,GCD,Exact,4296767075,Sociedad Boliviana de Cemento SA,0.166,,https://www.soboce.com/planta_emisa.asp,2/13/2020,4296767075,Sociedad Boliviana de Cemento SA,0.2Mt/yr,,,,,0.2,Mt/yr,Gonzalo Argendonia,Tel: +591 4645 3882,Fax: +591 4644 1221
BOL,BOL0003,"Bolivia, Plurinational State of",Grinding,Warnes Plant,Sociedad Boliviana de Cemento (SOBOCE),Santa Cruz de la Sierra,Operating,-17.568654,-63.150661,GCD,Exact,4296767075,Sociedad Boliviana de Cemento SA,0.202,,https://www.soboce.com/planta_warnes.asp,2/13/2020,4296767075,Sociedad Boliviana de Cemento SA,0.2Mt/yr,,,,,0.2,Mt/yr,,Tel: +591 3923 2873,Fax: +591 3923 2872
