,iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership
0,DZA,DZA0001,Algeria,22.0,2.0,7050.0,1.0,ARCELORMITTAL ALGERIA,"EL HADJAR, ANNABA",Operating,36.792072,7.701535,PlantFacts,Exact,,,,,,,,,,,,,
1,DZA,DZA0002,Algeria,10.0,,5100.0,1.0,ALGERIAN QATARI STEEL,"BELLARA, JIJEL",Operating,36.747137,6.250612,PlantFacts,Exact,,Algerian Qatari Steel Company,,,https://aqs.dz/about/,2020-07-22,5000010731.0,Qatar Steel Company QPSC,,,,,
2,DZA,DZA0003,Algeria,2.0,,6500.0,1.0,TOSYALI ALGERIA,BETHIOUA,Operating,35.7702333,-0.2646662,PlantFacts,Exact,5074196906,Tosyali Ironsteel Industry Algerie SPA,,,https://www.tosyaliholding.com.tr/en/our-scope-of-activity/group-companies/international-subsidiaries/tosyali-iron-steel-industry-algerie,2020-07-22,5000866267.0,Tosyali Holding AS,,,,,
3,AGO,AGO0001,Angola,5.0,,,0.0,ACERIA DE ANGOLA SA,"BARRA DO DANDE, BENGO PROV.",Operating,-8.5824,13.405271,PlantFacts,Exact,,,,,,,,,,,,,
4,ARG,ARG0001,Argentina,12.0,1.0,360.0,0.0,ACEROS ZAPLA SA,"PALPALA, JUJUY",Operating,-24.24424,-65.198096,PlantFacts,Exact,,,,,,,,,,,,,
5,ARG,ARG0002,Argentina,,,,0.0,,,Operating,-32.926684,-60.714138,https://www.ternium.com/en/contact-us#our-offices,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
6,ARG,ARG0003,Argentina,1.0,,,0.0,LAMINADOS INDUSTRIALES (BELTRAME),"VILLA CONSTITUCION, SANTA FE",Operating,-33.26958,-60.28283,PlantFacts,Exact,,,,,,,,,,,,,
7,ARG,ARG0004,Argentina,11.0,,2600.0,1.0,ARCELORMITTAL ACINDAR SA,"VILLA CONSTITUCION, SANTA FE",Operating,-33.25696,-60.286649,PlantFacts,Exact,4295856032,Acindar Industria Argentina de Aceros SA,,,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,2020-04-08,5000030092.0,Arcelormittal SA,,,,,
8,ARG,ARG0005,Argentina,1.0,,,0.0,ARCELORMITTAL ACINDAR SA,"SAN NICOLAS, BA",Operating,-33.346459,-60.257842,PlantFacts,Exact,4295856032,Acindar Industria Argentina de Aceros SA,,,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,2020-04-08,5000030092.0,Arcelormittal SA,,,,,
9,ARG,ARG0006,Argentina,18.0,2.0,8630.0,1.0,TERNIUM SIDERAR,"RAMALLO-SAN NICOLAS, BA",Operating,-33.36772,-60.149568,PlantFacts,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
10,ARG,ARG0007,Argentina,1.0,,,0.0,TERNIUM SIDERAR,"HAEDO, BA",Operating,-34.638826,-58.611764,PlantFacts,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
11,ARG,ARG0008,Argentina,1.0,,,0.0,OSTRILION SA,BUENOS AIRES,Operating,-34.653668,-58.372773,PlantFacts,Exact,,,,,,,,,,,,,
12,ARG,ARG0009,Argentina,2.0,,,0.0,TERNIUM SIDERAR,"FLORENCIO VARELA, BA",Operating,-34.819972,-58.199373,PlantFacts,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
13,ARG,ARG0010,Argentina,5.0,,,0.0,TERNIUM SIDERAR,"ENSENADA, BA",Operating,-34.854633,-57.941098,PlantFacts,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
14,ARG,ARG0011,Argentina,2.0,,,0.0,TERNIUM SIDERAR,"CANNING, BA",Operating,-34.877925,-58.511103,PlantFacts,Exact,4295856067,Ternium Argentina SA,,,https://www.ternium.com/en/contact-us#our-offices,2020-04-30,4295856130.0,Ternium SA,,,,,
15,ARG,ARG0012,Argentina,5.0,,300.0,0.0,VOTORANTIM ACERBRAG SA,"BRAGADO, BA",Operating,-35.140247,-60.44965,PlantFacts,Exact,,,,,,,,,,,,,
16,ARG,ARG0013,Argentina,5.0,,650.0,0.0,GERDAU SA,"PEREZ, SANTA FE",Operating,-32.991766,-60.755798,PlantFacts,Exact,,,,,,,,,,,,,
17,ARG,ARG0014,Argentina,7.0,,1300.0,1.0,TENARIS SIDERCA,"CAMPANA, BA",Operating,-34.155515,-58.975955,PlantFacts,Exact,4298123650,Siderca SAIC,,,https://www.tenaris.com/en/contact/tenaris-around-the-world/,2020-05-15,4295883040.0,Tenaris SA,,,,,
18,ARG,ARG0015,Argentina,,,,0.0,,,Operating,-34.687596,-58.539625,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,Exact,4295856032,Acindar Industria Argentina de Aceros SA,,,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,2020-07-24,5000030092.0,Arcelormittal SA,,,,,
19,ARG,ARG0016,Argentina,,,,0.0,,,Operating,-32.974327,-60.728177,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,Exact,4295856032,Acindar Industria Argentina de Aceros SA,,,https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf,2020-07-24,5000030092.0,Arcelormittal SA,,,,,
20,ARM,ARM0001,Armenia,3.0,,200.0,0.0,ASCE GROUP OJSC,CHARENTSAVAN,Operating,40.413734,44.639174,PlantFacts,Exact,,,,,,,,,,,,,
21,AUS,AUS0001,Australia,2.0,,,0.0,ONESTEEL,"NEWCASTLE, NSW",Operating,-32.887895,151.744629,PlantFacts,Exact,5071167707,Infrabuild Australia Pty Ltd,,,https://www.infrabuild.com/en-au/branch-locator/branches/infrabuild-steel-centre-newcastle/,2020-05-19,5057811578.0,Gfg Alliance Ltd,,,,,
22,AUS,AUS0002,Australia,8.0,1.0,4000.0,1.0,ONESTEEL,"WHYALLA, SA",Operating,-33.009381,137.587836,PlantFacts,Exact,5071167707,Infrabuild Australia Pty Ltd,,,https://www.libertygfg.com/liberty-primary-steel/,2020-05-19,5057811578.0,Gfg Alliance Ltd,,,,,
23,AUS,AUS0003,Australia,4.0,,660.0,0.0,ONESTEEL,"SYDNEY WEST-ROOTY HILL , NSW",Operating,-33.76601,150.849819,PlantFacts,Exact,5071167707,Infrabuild Australia Pty Ltd,,,https://www.infrabuild.com/en-au/branch-locator/branches/infrabuild-steel-rooty-hill/,2020-05-19,5057811578.0,Gfg Alliance Ltd,,,,,
24,AUS,AUS0005,Australia,,,,0.0,,,Operating,-34.457668,150.874433,https://www.bluescope.com/about-us/where-we-are/,Exact,4295858761,BlueScope Steel Ltd,,,https://www.bluescope.com/about-us/where-we-are/,2020-04-30,4295858761.0,BlueScope Steel Ltd,,,,,
25,AUS,AUS0006,Australia,19.0,1.0,10900.0,1.0,BLUESCOPE STEEL,"PORT KEMBLA, NSW",Operating,-34.463834,150.886191,PlantFacts,Exact,4295858761,BlueScope Steel Ltd,2.6,,https://www.bluescope.com/about-us/where-we-are/,2020-04-30,4295858761.0,BlueScope Steel Ltd,,,,,
26,AUS,AUS0007,Australia,5.0,,710.0,0.0,ONESTEEL ,"LAVERTON, VIC",Operating,-37.831379,144.788169,PlantFacts,Exact,5071167707,Infrabuild Australia Pty Ltd,,,https://www.infrabuild.com/en-au/branch-locator/branches/infrabuild-steel-laverton/,2020-05-19,5057811578.0,Gfg Alliance Ltd,,,,,
